id,cluster,client,skill,demand,consultant,priority
1,C27,V1,S22,1,,2
2,C32,V2,S32,3,,3
3,C30,V3,S48,5,,5
4,C13,V4,S17,5,,2
5,C15,V5,S7,3,,3
6,C44,V6,S8,3,,2
7,C10,V7,S21,1,,2
8,C31,V8,S38,6,,1
9,C21,V9,S49,3,,4
10,C16,V10,S26,4,,1
11,C46,V11,S32,6,,3
12,C16,V12,S26,4,,1
13,C36,V13,S18,2,,2
14,C9,V14,S22,6,,1
15,C12,V15,S9,6,,3
16,C12,V16,S19,6,,1
17,C30,V17,S43,6,,4
18,C30,V18,S40,3,,4
19,C12,V19,S46,1,,2
20,C12,V20,S33,4,,2
21,C25,V21,S23,1,,1
22,C44,V22,S1,5,,4
23,C31,V23,S10,4,,1
24,C18,V24,S3,5,,2
25,C37,V25,S16,3,,2
26,C36,V26,S48,1,,3
27,C26,V27,S50,2,,2
28,C7,V28,S7,6,,5
29,C9,V29,S34,4,,3
30,C3,V30,S7,6,,1
31,C44,V31,S11,6,,3
32,C11,V32,S2,1,,3
33,C24,V33,S6,3,,1
34,C22,V34,S11,5,,2
35,C1,V35,S9,4,,1
36,C6,V36,S8,4,,3
37,C34,V37,S17,5,,5
38,C43,V38,S47,2,,2
39,C10,V39,S25,6,,1
40,C3,V40,S12,3,,2
41,C13,V41,S46,1,,3
42,C33,V42,S25,4,,2
43,C24,V43,S31,6,,1
44,C18,V44,S26,3,,1
45,C2,V45,S32,5,,1
46,C26,V46,S38,2,,5
47,C37,V47,S28,1,,1
48,C26,V48,S30,4,,4
49,C16,V49,S27,1,,5
50,C35,V50,S49,6,,4
51,C5,V51,S10,6,,4
52,C33,V52,S48,4,,3
53,C37,V53,S6,3,,5
54,C32,V54,S26,1,,3
55,C50,V55,S12,5,,5
56,C22,V56,S20,1,,4
57,C25,V57,S3,4,,2
58,C24,V58,S7,4,,3
59,C8,V59,S42,2,,3
60,C47,V60,S20,3,,4
61,C19,V61,S30,4,,2
62,C14,V62,S9,6,,2
63,C48,V63,S24,2,,2
64,C31,V64,S25,4,,1
65,C12,V65,S50,6,,3
66,C33,V66,S27,1,,2
67,C36,V67,S36,4,,4
68,C19,V68,S1,1,,4
69,C10,V69,S32,4,,5
70,C42,V70,S15,2,,5
71,C31,V71,S16,3,,5
72,C43,V72,S40,4,,5
73,C45,V73,S43,5,,1
74,C35,V74,S24,1,,5
75,C24,V75,S12,6,,4
76,C37,V76,S4,6,,4
77,C18,V77,S13,5,,2
78,C47,V78,S31,6,,2
79,C21,V79,S46,1,,2
80,C17,V80,S28,5,,4
81,C4,V81,S27,2,,4
82,C24,V82,S37,2,,2
83,C25,V83,S16,1,,1
84,C1,V84,S39,3,,1
85,C4,V85,S44,4,,1
86,C50,V86,S40,3,,4
87,C12,V87,S4,6,,2
88,C33,V88,S6,6,,2
89,C9,V89,S27,1,,4
90,C4,V90,S48,3,,2
91,C47,V91,S6,2,,3
92,C42,V92,S35,3,,4
93,C12,V93,S31,1,,4
94,C45,V94,S30,4,,3
95,C50,V95,S25,6,,3
96,C35,V96,S8,2,,5
97,C26,V97,S45,6,,5
98,C39,V98,S24,1,,1
99,C9,V99,S2,4,,1
100,C41,V100,S24,3,,3
101,C34,V101,S50,4,,2
102,C36,V102,S28,6,,2
103,C11,V103,S32,3,,3
104,C46,V104,S21,5,,1
105,C16,V105,S38,1,,5
106,C20,V106,S48,4,,2
107,C2,V107,S30,2,,2
108,C13,V108,S22,6,,3
109,C5,V109,S29,1,,5
110,C20,V110,S35,5,,1
111,C17,V111,S22,5,,5
112,C21,V112,S16,2,,3
113,C32,V113,S42,4,,3
114,C27,V114,S21,4,,5
115,C18,V115,S36,1,,3
116,C30,V116,S46,1,,4
117,C38,V117,S34,2,,3
118,C28,V118,S27,5,,5
119,C10,V119,S6,2,,5
120,C28,V120,S35,4,,2
121,C47,V121,S1,4,,1
122,C31,V122,S45,4,,1
