name,available,cluster,wage,skill,lb,ub
K1,10,C30,1008,"S27,S6,S47,S42,S10,S21,S7,S9,S13,S48,S38,S26,S30,S44,S40,S39,S20,S34,S25,S33,S1,S49,S8,S22,S29",2,4
K2,10,C49,0,"S36,S6,S5,S7,S43,S48,S8,S47,S15,S28,S39,S21,S37,S25,S9,S19,S1,S17,S50,S42,S29,S16,S10,S27,S41",4,5
K3,10,C16,0,"S25,S23,S45,S21,S29,S5,S13,S44,S43,S41,S28,S35,S2,S24,S6,S19,S1,S30,S26,S46,S7,S34,S8,S15,S27",2,5
K4,10,C32,0,"S43,S6,S23,S29,S22,S8,S26,S24,S35,S12,S20,S2,S33,S16,S10,S19,S47,S34,S31,S39,S28,S4,S3,S45,S30",4,5
K5,10,C31,0,"S35,S40,S26,S24,S6,S13,S41,S23,S9,S47,S16,S44,S12,S22,S18,S15,S31,S19,S42,S46,S50,S11,S45,S20,S17",1,4
K6,10,C14,1079,"S36,S30,S47,S37,S49,S12,S38,S18,S45,S48,S6,S40,S42,S31,S8,S7,S44,S14,S46,S1,S23,S15,S34,S29,S11",2,3
K7,10,C16,0,"S43,S20,S15,S27,S32,S35,S28,S44,S21,S23,S22,S48,S42,S5,S8,S39,S9,S49,S18,S30,S7,S36,S14,S4,S3",1,2
K8,10,C22,1033,"S15,S48,S42,S6,S10,S31,S27,S22,S50,S4,S21,S2,S34,S32,S12,S13,S24,S20,S7,S45,S40,S33,S39,S26,S11",2,5
K9,10,C31,1071,"S19,S10,S32,S34,S12,S50,S23,S47,S8,S33,S46,S25,S35,S18,S5,S7,S26,S44,S45,S2,S21,S36,S30,S28,S6",2,5
K10,10,C50,956,"S42,S7,S4,S14,S15,S24,S48,S44,S13,S21,S5,S36,S45,S35,S30,S34,S16,S20,S37,S11,S2,S9,S19,S32,S33",2,4
K11,10,C15,1096,"S40,S35,S47,S36,S2,S44,S32,S11,S21,S18,S14,S10,S6,S43,S25,S8,S19,S27,S38,S26,S3,S42,S31,S15,S9",1,3
K12,10,C33,0,"S2,S42,S21,S29,S46,S25,S16,S20,S15,S38,S41,S10,S6,S11,S39,S31,S12,S34,S3,S13,S4,S9,S43,S47,S37",2,4
K13,10,C15,0,"S13,S23,S29,S35,S6,S12,S25,S36,S14,S45,S31,S26,S22,S3,S50,S2,S42,S21,S39,S30,S1,S28,S15,S47,S49",4,5
K14,10,C10,995,"S46,S2,S45,S28,S9,S32,S42,S37,S31,S33,S20,S43,S48,S14,S15,S16,S24,S25,S50,S18,S23,S39,S13,S34,S6",1,4
K15,10,C2,0,"S48,S33,S41,S2,S39,S46,S38,S31,S15,S10,S45,S24,S17,S14,S25,S6,S44,S7,S12,S30,S28,S40,S29,S36,S16",2,5
K16,10,C39,0,"S39,S36,S28,S29,S44,S8,S17,S10,S16,S49,S2,S12,S14,S23,S18,S3,S19,S47,S13,S46,S33,S15,S26,S38,S7",1,3
K17,10,C43,989,"S1,S2,S39,S6,S7,S17,S36,S10,S47,S37,S31,S42,S13,S30,S3,S28,S9,S33,S43,S32,S15,S18,S16,S49,S48",2,4
K18,10,C4,912,"S9,S18,S19,S12,S42,S26,S40,S50,S36,S39,S38,S35,S47,S29,S49,S22,S20,S27,S46,S4,S6,S16,S48,S23,S43",1,4
K19,10,C38,1085,"S36,S20,S24,S19,S29,S10,S34,S44,S9,S37,S48,S49,S39,S30,S40,S26,S25,S27,S41,S17,S5,S16,S4,S43,S2",1,5
K20,10,C18,0,"S28,S3,S31,S11,S49,S36,S8,S18,S19,S42,S33,S39,S21,S45,S4,S30,S26,S37,S46,S6,S38,S50,S13,S5,S15",1,3
K21,10,C36,945,"S37,S30,S41,S25,S38,S19,S16,S1,S26,S12,S15,S24,S23,S29,S34,S28,S22,S45,S3,S44,S48,S11,S21,S32,S5",2,3
K22,10,C3,973,"S35,S8,S32,S27,S19,S25,S30,S14,S50,S29,S49,S37,S11,S43,S44,S47,S34,S21,S12,S20,S31,S46,S22,S24,S48",3,5
K23,10,C24,1010,"S3,S36,S46,S38,S49,S35,S9,S16,S21,S6,S17,S50,S14,S12,S20,S2,S27,S31,S4,S47,S24,S15,S43,S30,S34",2,5
K24,10,C8,0,"S30,S47,S46,S21,S22,S11,S1,S16,S27,S20,S48,S10,S26,S19,S44,S23,S50,S31,S41,S8,S36,S28,S49,S40,S7",1,4
