airport_from,airport_to,cost,distance
C1,C1,0.0,0.0
C1,C2,34.7,34.7
C1,C3,21.0,21.0
C1,C4,68.7,68.7
C1,C5,57.2,57.2
C1,C6,40.9,40.9
C1,C7,41.6,41.6
C1,C8,47.2,47.2
C1,C9,89.1,89.1
C1,C10,55.0,55.0
C1,C11,85.0,85.0
C1,C12,32.6,32.6
C1,C13,14.2,14.2
C1,C14,15.3,15.3
C1,C15,8.1,8.1
C1,C16,9.0,9.0
C1,C17,41.0,41.0
C1,C18,56.6,56.6
C1,C19,52.2,52.2
C1,C20,22.1,22.1
C1,C21,58.5,58.5
C1,C22,29.6,29.6
C1,C23,28.6,28.6
C1,C24,13.2,13.2
C1,C25,54.8,54.8
C1,C26,74.5,74.5
C1,C27,76.6,76.6
C1,C28,39.1,39.1
C1,C29,41.7,41.7
C1,C30,28.0,28.0
C1,C31,38.2,38.2
C1,C32,64.4,64.4
C1,C33,37.5,37.5
C1,C34,26.9,26.9
C1,C35,49.2,49.2
C1,C36,39.4,39.4
C1,C37,36.7,36.7
C1,C38,22.7,22.7
C1,C39,68.7,68.7
C1,C40,44.6,44.6
C1,C41,61.7,61.7
C1,C42,35.2,35.2
C1,C43,71.6,71.6
C1,C44,20.1,20.1
C1,C45,35.5,35.5
C1,C46,71.1,71.1
C1,C47,26.1,26.1
C1,C48,48.9,48.9
C1,C49,41.0,41.0
C1,C50,43.9,43.9
C2,C1,34.7,34.7
C2,C2,0.0,0.0
C2,C3,55.4,55.4
C2,C4,87.0,87.0
C2,C5,86.2,86.2
C2,C6,75.3,75.3
C2,C7,31.0,31.0
C2,C8,53.8,53.8
C2,C9,119.9,119.9
C2,C10,89.2,89.2
C2,C11,116.2,116.2
C2,C12,63.6,63.6
C2,C13,47.8,47.8
C2,C14,43.0,43.0
C2,C15,35.0,35.0
C2,C16,37.6,37.6
C2,C17,23.8,23.8
C2,C18,89.4,89.4
C2,C19,51.4,51.4
C2,C20,43.2,43.2
C2,C21,86.6,86.6
C2,C22,13.9,13.9
C2,C23,45.2,45.2
C2,C24,47.3,47.3
C2,C25,87.3,87.3
C2,C26,98.1,98.1
C2,C27,109.6,109.6
C2,C28,59.0,59.0
C2,C29,75.4,75.4
C2,C30,24.1,24.1
C2,C31,64.8,64.8
C2,C32,89.8,89.8
C2,C33,71.0,71.0
C2,C34,53.6,53.6
C2,C35,51.0,51.0
C2,C36,65.9,65.9
C2,C37,9.1,9.1
C2,C38,21.5,21.5
C2,C39,92.3,92.3
C2,C40,23.0,23.0
C2,C41,62.3,62.3
C2,C42,69.1,69.1
C2,C43,92.7,92.7
C2,C44,54.4,54.4
