id,cluster,client,skill,demand,consultant,priority
1,C13,V1,S15,3,,2
2,C14,V2,S23,6,,1
3,C1,V3,S18,4,,4
4,C13,V4,S4,6,,2
5,C10,V5,S3,5,,4
6,C16,V6,S23,2,,2
7,C21,V7,S5,3,,1
8,C5,V8,S17,6,,4
9,C26,V9,S23,1,,2
10,C29,V10,S16,6,,4
11,C8,V11,S30,2,,2
12,C8,V12,S2,3,,1
13,C24,V13,S6,2,,1
14,C9,V14,S5,4,,5
15,C20,V15,S29,3,,3
16,C10,V16,S21,3,,3
17,C22,V17,S12,2,,3
18,C19,V18,S1,4,,4
19,C30,V19,S30,4,,4
20,C13,V20,S18,1,,5
21,C22,V21,S5,4,,2
22,C11,V22,S21,1,,2
23,C14,V23,S25,1,,4
24,C3,V24,S17,3,,5
25,C13,V25,S28,3,,2
26,C19,V26,S23,5,,1
27,C27,V27,S2,1,,3
28,C12,V28,S4,5,,5
29,C17,V29,S24,6,,2
30,C13,V30,S4,5,,5
31,C30,V31,S11,3,,2
32,C30,V32,S2,1,,2
33,C19,V33,S2,3,,5
34,C16,V34,S1,6,,4
35,C13,V35,S26,3,,1
36,C6,V36,S27,4,,1
37,C27,V37,S14,4,,3
38,C24,V38,S14,4,,3
39,C21,V39,S15,1,,1
40,C16,V40,S2,6,,1
41,C24,V41,S16,5,,3
42,C27,V42,S3,4,,1
43,C21,V43,S5,4,,3
44,C30,V44,S24,3,,1
45,C3,V45,S23,4,,3
46,C27,V46,S8,1,,5
47,C7,V47,S9,6,,4
48,C2,V48,S19,2,,4
49,C15,V49,S10,5,,3
50,C17,V50,S20,6,,4
51,C15,V51,S18,2,,1
52,C11,V52,S17,6,,2
53,C16,V53,S21,1,,4
54,C22,V54,S15,4,,4
55,C16,V55,S8,3,,4
56,C5,V56,S13,4,,1
57,C23,V57,S7,4,,4
58,C19,V58,S11,6,,4
59,C4,V59,S26,4,,3
60,C8,V60,S27,1,,3
61,C21,V61,S24,2,,5
62,C23,V62,S19,6,,1
63,C19,V63,S2,2,,3
64,C18,V64,S27,2,,3
65,C7,V65,S11,5,,5
66,C20,V66,S15,4,,4
67,C14,V67,S26,4,,3
68,C20,V68,S13,2,,3
69,C16,V69,S22,2,,1
70,C14,V70,S14,1,,2
71,C8,V71,S5,1,,1
72,C4,V72,S6,4,,4
73,C22,V73,S10,6,,4
74,C29,V74,S29,6,,4
75,C19,V75,S17,1,,4
76,C22,V76,S5,5,,1
77,C7,V77,S27,3,,4
78,C3,V78,S4,3,,2
79,C8,V79,S15,6,,4
80,C18,V80,S11,6,,1
81,C26,V81,S17,6,,1
82,C27,V82,S27,6,,4
83,C13,V83,S1,6,,4
84,C6,V84,S6,5,,2
85,C7,V85,S23,5,,3
86,C18,V86,S9,1,,4
87,C19,V87,S2,4,,1
88,C25,V88,S13,4,,5
89,C6,V89,S24,6,,1
90,C14,V90,S11,6,,5
91,C24,V91,S6,3,,3
92,C3,V92,S15,3,,1
93,C10,V93,S19,1,,4
94,C20,V94,S11,1,,5
95,C2,V95,S30,4,,4
96,C17,V96,S25,3,,2
97,C6,V97,S24,2,,2
98,C14,V98,S7,4,,2
99,C18,V99,S20,3,,4
100,C24,V100,S22,1,,4
101,C27,V101,S9,1,,4
102,C14,V102,S6,1,,5
103,C17,V103,S30,5,,2
104,C5,V104,S21,6,,5
105,C17,V105,S23,2,,4
106,C26,V106,S23,5,,1
107,C4,V107,S8,2,,5
108,C26,V108,S24,5,,2
109,C26,V109,S23,5,,4
110,C28,V110,S17,4,,5
111,C20,V111,S21,6,,4
112,C24,V112,S24,1,,1
113,C28,V113,S4,5,,3
114,C23,V114,S19,5,,5
115,C5,V115,S13,6,,2
116,C28,V116,S3,4,,3
117,C28,V117,S6,2,,2
118,C29,V118,S27,6,,4
119,C19,V119,S2,2,,3
120,C20,V120,S11,1,,4
121,C19,V121,S24,1,,1
122,C21,V122,S21,5,,4
123,C2,V123,S12,4,,5
124,C2,V124,S8,1,,3
125,C16,V125,S7,6,,4
126,C5,V126,S15,3,K47,4
127,C16,V127,S27,5,K33,4
128,C16,V128,S22,4,K34,1
129,C16,V129,S29,2,K9,4
130,C8,V130,S11,4,K51,5
131,C1,V131,S30,2,K13,5
132,C30,V132,S19,4,K57,3
133,C12,V133,S26,2,K4,3
134,C13,V134,S24,3,K1,2
135,C30,V135,S13,2,K8,4
136,C18,V136,S23,3,K10,4
137,C15,V137,S9,5,K14,2
138,C4,V138,S25,1,K3,1
139,C26,V139,S15,4,K34,1
140,C24,V140,S17,6,K42,5
