name,available,cluster,wage,skill,lb,ub
K1,10,C29,1003,"S1,S16,S18,S10,S28,S20,S6,S24,S25,S8,S15,S2,S14,S3,S22",1,4
K2,10,C22,946,"S27,S19,S12,S9,S28,S26,S7,S4,S16,S18,S8,S24,S25,S5,S14",1,5
K3,10,C3,1048,"S1,S3,S20,S28,S22,S13,S27,S26,S11,S2,S29,S16,S7,S6,S23",3,4
K4,10,C8,1067,"S18,S4,S21,S2,S25,S1,S15,S10,S28,S16,S3,S23,S5,S9,S26",1,2
K5,10,C29,990,"S24,S16,S2,S7,S20,S30,S27,S18,S28,S17,S21,S8,S6,S23,S5",3,4
K6,10,C10,902,"S10,S1,S18,S25,S28,S30,S26,S6,S11,S24,S7,S19,S22,S2,S20",2,4
K7,10,C19,1059,"S21,S14,S20,S16,S6,S1,S12,S30,S29,S5,S19,S11,S10,S18,S23",1,3
K8,10,C27,0,"S6,S17,S14,S24,S11,S12,S7,S27,S8,S22,S2,S10,S20,S26,S29",1,2
K9,10,C6,1011,"S14,S3,S28,S21,S7,S12,S4,S13,S27,S20,S6,S8,S25,S26,S19",3,4
K10,10,C7,932,"S4,S28,S5,S6,S22,S25,S26,S29,S7,S20,S14,S24,S11,S19,S12",3,4
K11,10,C10,1037,"S27,S12,S8,S9,S26,S6,S13,S2,S20,S15,S19,S24,S16,S3,S25",3,4
K12,10,C30,0,"S4,S14,S6,S26,S7,S22,S2,S28,S17,S1,S25,S16,S19,S18,S13",3,4
K13,10,C4,0,"S8,S27,S26,S3,S15,S18,S13,S4,S23,S7,S28,S5,S2,S11,S25",2,5
K14,10,C29,0,"S28,S15,S30,S24,S2,S18,S21,S23,S17,S19,S20,S12,S22,S7,S9",2,3
K15,10,C22,935,"S21,S19,S28,S2,S1,S26,S16,S17,S14,S25,S11,S8,S30,S3,S9",2,4
K16,10,C24,0,"S16,S29,S17,S18,S22,S24,S11,S6,S21,S9,S23,S14,S7,S30,S19",1,3
K17,10,C5,0,"S24,S29,S17,S23,S28,S1,S8,S21,S10,S19,S12,S11,S6,S5,S13",1,4
K18,10,C13,942,"S6,S9,S16,S29,S8,S18,S23,S30,S25,S14,S17,S4,S27,S22,S7",1,5
K19,10,C13,939,"S8,S7,S22,S29,S14,S3,S1,S9,S30,S2,S19,S21,S5,S12,S10",1,4
K20,10,C6,0,"S14,S20,S15,S30,S23,S11,S16,S2,S22,S19,S25,S5,S28,S3,S13",2,5
K21,10,C19,0,"S16,S29,S5,S22,S1,S11,S13,S15,S3,S25,S18,S2,S14,S17,S7",1,3
K22,10,C28,0,"S16,S4,S17,S7,S25,S23,S13,S20,S3,S26,S24,S29,S9,S5,S27",1,3
K23,10,C30,0,"S29,S1,S26,S18,S2,S12,S27,S30,S16,S24,S19,S17,S15,S9,S5",1,2
K24,10,C7,1034,"S27,S15,S3,S8,S23,S10,S4,S5,S24,S22,S17,S2,S21,S29,S16",3,4
K25,10,C27,958,"S17,S7,S19,S3,S28,S29,S30,S23,S6,S16,S22,S4,S21,S12,S25",3,5
K26,10,C7,1034,"S14,S10,S9,S15,S20,S29,S24,S13,S7,S8,S2,S21,S12,S22,S4",1,5
K27,10,C19,0,"S3,S21,S25,S4,S12,S11,S22,S29,S13,S15,S18,S14,S7,S19,S5",2,3
K28,10,C6,1024,"S12,S19,S13,S14,S7,S5,S27,S11,S15,S18,S20,S10,S6,S28,S30",1,4
K29,10,C23,910,"S22,S2,S12,S10,S30,S18,S5,S3,S16,S26,S13,S25,S19,S4,S7",4,5
K30,10,C21,0,"S4,S20,S12,S18,S14,S28,S24,S9,S17,S8,S2,S1,S21,S27,S6",2,5
K31,10,C13,980,"S29,S21,S12,S18,S30,S8,S10,S16,S23,S1,S4,S2,S24,S15,S26",2,3
K32,10,C23,0,"S15,S18,S8,S2,S6,S7,S4,S25,S14,S12,S11,S27,S29,S19,S21",1,5
K33,10,C6,970,"S12,S18,S30,S6,S11,S9,S28,S25,S24,S10,S3,S7,S4,S26,S13",1,3
K34,10,C30,1042,"S24,S30,S23,S1,S15,S22,S6,S12,S20,S25,S8,S4,S2,S7,S11",1,4
K35,10,C8,909,"S17,S7,S28,S15,S22,S9,S20,S5,S27,S25,S16,S21,S23,S19,S30",3,4
K36,10,C4,911,"S2,S24,S9,S14,S17,S4,S13,S23,S3,S12,S18,S7,S15,S20,S29",3,5
K37,10,C14,0,"S6,S17,S7,S26,S13,S25,S15,S24,S23,S4,S3,S8,S27,S5,S10",3,5
K38,10,C13,0,"S17,S20,S18,S3,S11,S28,S14,S30,S6,S15,S13,S26,S1,S12,S7",1,5
K39,10,C11,960,"S28,S25,S1,S2,S21,S4,S29,S14,S12,S15,S3,S30,S26,S8,S23",1,3
K40,10,C16,1098,"S7,S14,S19,S29,S4,S30,S26,S27,S23,S18,S9,S13,S8,S28,S1",1,2
K41,10,C3,0,"S23,S9,S30,S17,S28,S11,S13,S18,S25,S4,S24,S6,S2,S29,S15",2,4
K42,10,C26,0,"S29,S26,S10,S13,S27,S15,S1,S17,S2,S4,S19,S20,S8,S12,S21",1,4
K43,10,C12,0,"S30,S25,S6,S13,S7,S21,S19,S3,S2,S18,S4,S1,S17,S15,S8",1,3
K44,10,C21,0,"S12,S4,S11,S22,S9,S10,S27,S14,S2,S16,S30,S13,S28,S25,S7",2,3
K45,10,C20,937,"S18,S20,S15,S23,S29,S16,S28,S10,S9,S5,S30,S3,S7,S22,S19",1,4
K46,10,C26,0,"S4,S1,S22,S24,S23,S11,S20,S5,S14,S26,S17,S9,S18,S28,S29",2,3
K47,10,C2,0,"S11,S6,S26,S28,S23,S22,S30,S15,S18,S12,S7,S21,S25,S29,S4",3,5
K48,10,C3,0,"S3,S9,S25,S10,S26,S17,S1,S15,S16,S7,S18,S5,S8,S13,S14",2,3
K49,10,C9,1061,"S4,S15,S3,S23,S16,S22,S14,S8,S11,S13,S10,S17,S5,S25,S18",1,2
K50,10,C1,0,"S13,S20,S15,S12,S9,S21,S7,S19,S22,S27,S10,S18,S3,S26,S29",2,4
K51,10,C10,0,"S1,S12,S17,S11,S24,S29,S28,S26,S18,S8,S30,S14,S4,S5,S3",1,5
K52,10,C3,978,"S16,S24,S23,S1,S6,S26,S27,S4,S9,S28,S15,S12,S13,S19,S17",1,5
K53,10,C27,996,"S8,S29,S9,S19,S2,S18,S22,S28,S16,S14,S7,S21,S30,S10,S25",4,5
K54,10,C29,1084,"S14,S26,S2,S18,S11,S16,S5,S3,S27,S7,S8,S1,S25,S29,S28",3,5
K55,10,C23,1012,"S24,S29,S3,S11,S19,S5,S4,S30,S28,S27,S25,S13,S6,S26,S15",1,3
K56,10,C29,1082,"S25,S29,S23,S9,S19,S4,S6,S20,S5,S14,S17,S10,S27,S26,S30",2,5
K57,10,C25,1046,"S25,S29,S5,S21,S3,S19,S30,S14,S8,S20,S28,S17,S11,S7,S24",1,2
K58,10,C29,1013,"S21,S16,S27,S6,S10,S30,S14,S3,S22,S23,S1,S28,S29,S5,S9",3,5
K59,10,C28,985,"S16,S11,S20,S5,S12,S7,S23,S1,S30,S28,S14,S13,S25,S8,S17",1,2
K60,10,C22,1011,"S17,S7,S9,S19,S20,S27,S24,S6,S16,S1,S22,S26,S15,S4,S10",1,2
