airport_from,airport_to,cost,distance
C1,C1,0.0,0.0
C1,C2,54.8,54.8
C1,C3,18.0,18.0
C1,C4,44.8,44.8
C1,C5,37.4,37.4
C1,C6,54.6,54.6
C1,C7,54.5,54.5
C1,C8,24.5,24.5
C1,C9,22.4,22.4
C1,C10,54.2,54.2
C1,C11,53.7,53.7
C1,C12,28.0,28.0
C1,C13,21.0,21.0
C1,C14,46.6,46.6
C1,C15,19.1,19.1
C1,C16,55.5,55.5
C1,C17,52.4,52.4
C1,C18,27.2,27.2
C1,C19,64.7,64.7
C1,C20,25.1,25.1
C1,C21,31.0,31.0
C1,C22,30.9,30.9
C1,C23,19.2,19.2
C1,C24,57.3,57.3
C1,C25,57.6,57.6
C1,C26,66.2,66.2
C1,C27,41.3,41.3
C1,C28,54.5,54.5
C1,C29,28.9,28.9
C1,C30,64.8,64.8
C2,C1,54.8,54.8
C2,C2,0.0,0.0
C2,C3,72.8,72.8
C2,C4,90.0,90.0
C2,C5,72.8,72.8
C2,C6,96.6,96.6
C2,C7,91.0,91.0
C2,C8,76.5,76.5
C2,C9,41.0,41.0
C2,C10,98.2,98.2
C2,C11,98.2,98.2
C2,C12,79.6,79.6
C2,C13,70.9,70.9
C2,C14,62.8,62.8
C2,C15,72.3,72.3
C2,C16,79.3,79.3
C2,C17,19.2,19.2
C2,C18,37.5,37.5
C2,C19,96.8,96.8
C2,C20,41.0,41.0
C2,C21,51.2,51.2
C2,C22,42.4,42.4
C2,C23,48.0,48.0
C2,C24,75.6,75.6
C2,C25,76.5,76.5
C2,C26,42.5,42.5
C2,C27,50.6,50.6
C2,C28,92.6,92.6
C2,C29,58.5,58.5
C2,C30,20.0,20.0
C3,C1,18.0,18.0
C3,C2,72.8,72.8
C3,C3,0.0,0.0
C3,C4,35.6,35.6
C3,C5,37.2,37.2
C3,C6,46.4,46.4
C3,C7,49.7,49.7
C3,C8,13.0,13.0
C3,C9,37.5,37.5
C3,C10,44.6,44.6
C3,C11,43.9,43.9
C3,C12,17.0,17.0
C3,C13,15.1,15.1
C3,C14,54.4,54.4
C3,C15,8.2,8.2
C3,C16,57.2,57.2
C3,C17,69.4,69.4
C3,C18,43.0,43.0
C3,C19,60.9,60.9
C3,C20,40.2,40.2
C3,C21,41.1,41.1
C3,C22,44.9,44.9
C3,C23,32.0,32.0
C3,C24,61.0,61.0
C3,C25,61.0,61.0
C3,C26,80.6,80.6
C3,C27,51.9,51.9
C3,C28,48.8,48.8
C3,C29,35.4,35.4
C3,C30,82.1,82.1
C4,C1,44.8,44.8
C4,C2,90.0,90.0
C4,C3,35.6,35.6
C4,C4,0.0,0.0
C4,C5,20.1,20.1
C4,C6,10.8,10.8
C4,C7,17.0,17.0
C4,C8,22.7,22.7
C4,C9,49.0,49.0
C4,C10,9.4,9.4
C4,C11,8.9,8.9
C4,C12,50.5,50.5
C4,C13,23.9,23.9
C4,C14,89.2,89.2
C4,C15,28.3,28.3
C4,C16,33.6,33.6
C4,C17,79.1,79.1
C4,C18,71.6,71.6
C4,C19,28.1,28.1
C4,C20,69.8,69.8
C4,C21,41.0,41.0
C4,C22,75.7,75.7
C4,C23,42.1,42.1
C4,C24,40.2,40.2
C4,C25,39.7,39.7
C4,C26,79.6,79.6
C4,C27,47.9,47.9
C4,C28,15.0,15.0
C4,C29,32.6,32.6
C4,C30,91.8,91.8
C5,C1,37.4,37.4
C5,C2,72.8,72.8
C5,C3,37.2,37.2
C5,C4,20.1,20.1
C5,C5,0.0,0.0
C5,C6,24.0,24.0
C5,C7,18.8,18.8
C5,C8,26.2,26.2
C5,C9,32.9,32.9
C5,C10,26.3,26.3
C5,C11,26.5,26.5
C5,C12,54.2,54.2
C5,C13,22.1,22.1
C5,C14,84.1,84.1
C5,C15,29.1,29.1
C5,C16,20.0,20.0
C5,C17,60.1,60.1
C5,C18,61.1,61.1
C5,C19,27.6,27.6
C5,C20,60.1,60.1
C5,C21,22.0,22.0
C5,C22,66.5,66.5
C5,C23,26.8,26.8
C5,C24,24.5,24.5
C5,C25,24.3,24.3
C5,C26,59.5,59.5
C5,C27,27.9,27.9
C5,C28,19.9,19.9
C5,C29,14.3,14.3
C5,C30,72.6,72.6
C6,C1,54.6,54.6
C6,C2,96.6,96.6
C6,C3,46.4,46.4
C6,C4,10.8,10.8
C6,C5,24.0,24.0
C6,C6,0.0,0.0
C6,C7,10.6,10.6
C6,C8,33.4,33.4
C6,C9,56.1,56.1
C6,C10,4.5,4.5
C6,C11,5.4,5.4
C6,C12,61.3,61.3
C6,C13,34.1,34.1
C6,C14,99.7,99.7
C6,C15,38.9,38.9
C6,C16,30.5,30.5
C6,C17,84.1,84.1
C6,C18,81.0,81.0
C6,C19,19.4,19.4
C6,C20,79.4,79.4
C6,C21,46.0,46.0
C6,C22,85.4,85.4
C6,C23,49.5,49.5
C6,C24,37.6,37.6
C6,C25,36.9,36.9
C6,C26,81.6,81.6
C6,C27,51.0,51.0
C6,C28,7.8,7.8
C6,C29,38.1,38.1
C6,C30,96.4,96.4
C7,C1,54.5,54.5
C7,C2,91.0,91.0
C7,C3,49.7,49.7
C7,C4,17.0,17.0
C7,C5,18.8,18.8
C7,C6,10.6,10.6
C7,C7,0.0,0.0
C7,C8,36.8,36.8
C7,C9,51.6,51.6
C7,C10,15.0,15.0
C7,C11,15.8,15.8
C7,C12,65.8,65.8
C7,C13,35.5,35.5
C7,C14,100.8,100.8
C7,C15,41.6,41.6
C7,C16,20.0,20.0
C7,C17,77.1,77.1
C7,C18,79.4,79.4
C7,C19,11.4,11.4
C7,C20,78.2,78.2
C7,C21,39.8,39.8
C7,C22,84.5,84.5
C7,C23,45.6,45.6
C7,C24,27.2,27.2
C7,C25,26.4,26.4
C7,C26,72.5,72.5
C7,C27,43.0,43.0
C7,C28,2.8,2.8
C7,C29,32.9,32.9
C7,C30,89.0,89.0
C8,C1,24.5,24.5
C8,C2,76.5,76.5
C8,C3,13.0,13.0
C8,C4,22.7,22.7
C8,C5,26.2,26.2
C8,C6,33.4,33.4
C8,C7,36.8,36.8
C8,C8,0.0,0.0
C8,C9,37.2,37.2
C8,C10,31.8,31.8
C8,C11,31.1,31.1
C8,C12,29.1,29.1
C8,C13,6.4,6.4
C8,C14,66.7,66.7
C8,C15,5.8,5.8
C8,C16,46.0,46.0
C8,C17,69.8,69.8
C8,C18,51.7,51.7
C8,C19,48.1,48.1
C8,C20,49.3,49.3
C8,C21,36.1,36.1
C8,C22,54.8,54.8
C8,C23,30.4,30.4
C8,C24,50.6,50.6
C8,C25,50.5,50.5
C8,C26,77.1,77.1
C8,C27,46.2,46.2
C8,C28,35.8,35.8
C8,C29,28.6,28.6
C8,C30,82.8,82.8
C9,C1,22.4,22.4
C9,C2,41.0,41.0
C9,C3,37.5,37.5
C9,C4,49.0,49.0
C9,C5,32.9,32.9
C9,C6,56.1,56.1
C9,C7,51.6,51.6
C9,C8,37.2,37.2
C9,C9,0.0,0.0
C9,C10,57.4,57.4
C9,C11,57.3,57.3
C9,C12,50.2,50.2
C9,C13,31.0,31.0
C9,C14,60.4,60.4
C9,C15,34.1,34.1
C9,C16,44.6,44.6
C9,C17,32.6,32.6
C9,C18,32.2,32.2
C9,C19,59.2,59.2
C9,C20,32.7,32.7
C9,C21,14.2,14.2
C9,C22,38.9,38.9
C9,C23,7.1,7.1
C9,C24,43.6,43.6
C9,C25,44.2,44.2
C9,C26,43.9,43.9
C9,C27,21.6,21.6
C9,C28,52.8,52.8
C9,C29,18.8,18.8
C9,C30,45.6,45.6
C10,C1,54.2,54.2
C10,C2,98.2,98.2
C10,C3,44.6,44.6
C10,C4,9.4,9.4
C10,C5,26.3,26.3
C10,C6,4.5,4.5
C10,C7,15.0,15.0
C10,C8,31.8,31.8
C10,C9,57.4,57.4
C10,C10,0.0,0.0
C10,C11,1.0,1.0
C10,C12,58.8,58.8
C10,C13,33.3,33.3
C10,C14,98.5,98.5
C10,C15,37.5,37.5
C10,C16,34.7,34.7
C10,C17,86.4,86.4
C10,C18,81.0,81.0
C10,C19,23.8,23.8
C10,C20,79.2,79.2
C10,C21,48.2,48.2
C10,C22,85.1,85.1
C10,C23,50.6,50.6
C10,C24,41.8,41.8
C10,C25,41.0,41.0
C10,C26,84.9,84.9
C10,C27,53.9,53.9
C10,C28,12.2,12.2
C10,C29,40.0,40.0
C10,C30,98.9,98.9
C11,C1,53.7,53.7
C11,C2,98.2,98.2
C11,C3,43.9,43.9
C11,C4,8.9,8.9
C11,C5,26.5,26.5
C11,C6,5.4,5.4
C11,C7,15.8,15.8
C11,C8,31.1,31.1
C11,C9,57.3,57.3
C11,C10,1.0,1.0
C11,C11,0.0,0.0
C11,C12,58.0,58.0
C11,C13,32.8,32.8
C11,C14,97.8,97.8
C11,C15,36.9,36.9
C11,C16,35.4,35.4
C11,C17,86.5,86.5
C11,C18,80.5,80.5
C11,C19,24.7,24.7
C11,C20,78.7,78.7
C11,C21,48.3,48.3
C11,C22,84.6,84.6
C11,C23,50.5,50.5
C11,C24,42.4,42.4
C11,C25,41.7,41.7
C11,C26,85.2,85.2
C11,C27,54.1,54.1
C11,C28,13.0,13.0
C11,C29,40.0,40.0
C11,C30,99.0,99.0
C12,C1,28.0,28.0
C12,C2,79.6,79.6
C12,C3,17.0,17.0
C12,C4,50.5,50.5
C12,C5,54.2,54.2
C12,C6,61.3,61.3
C12,C7,65.8,65.8
C12,C8,29.1,29.1
C12,C9,50.2,50.2
C12,C10,58.8,58.8
C12,C11,58.0,58.0
C12,C12,0.0,0.0
C12,C13,32.1,32.1
C12,C14,45.5,45.5
C12,C15,25.2,25.2
C12,C16,74.2,74.2
C12,C17,79.9,79.9
C12,C18,44.6,44.6
C12,C19,77.2,77.2
C12,C20,41.1,41.1
C12,C21,56.6,56.6
C12,C22,43.7,43.7
C12,C23,46.1,46.1
C12,C24,78.0,78.0
C12,C25,78.0,78.0
C12,C26,94.2,94.2
C12,C27,67.4,67.4
C12,C28,64.6,64.6
C12,C29,51.8,51.8
C12,C30,92.0,92.0
