airport_from,airport_to,cost,distance
C1,C1,0.0,0.0
C1,C2,20.1,20.1
C1,C3,64.5,64.5
C1,C4,8.2,8.2
C1,C5,26.3,26.3
C1,C6,31.3,31.3
C1,C7,63.4,63.4
C1,C8,39.2,39.2
C1,C9,49.2,49.2
C1,C10,62.1,62.1
C2,C1,20.1,20.1
C2,C2,0.0,0.0
C2,C3,45.9,45.9
C2,C4,28.0,28.0
C2,C5,28.8,28.8
C2,C6,40.3,40.3
C2,C7,66.7,66.7
C2,C8,28.2,28.2
C2,C9,42.0,42.0
C2,C10,62.4,62.4
C3,C1,64.5,64.5
C3,C2,45.9,45.9
C3,C3,0.0,0.0
C3,C4,72.8,72.8
C3,C5,71.3,71.3
C3,C6,84.4,84.4
C3,C7,104.1,104.1
C3,C8,33.5,33.5
C3,C9,71.0,71.0
C3,C10,96.8,96.8
C4,C1,8.2,8.2
C4,C2,28.0,28.0
C4,C3,72.8,72.8
C4,C4,0.0,0.0
C4,C5,26.8,26.8
C4,C6,28.0,28.0
C4,C7,61.0,61.0
C4,C8,46.9,46.9
C4,C9,51.6,51.6
C4,C10,61.0,61.0
C5,C1,26.3,26.3
C5,C2,28.8,28.8
C5,C3,71.3,71.3
C5,C4,26.8,26.8
C5,C5,0.0,0.0
C5,C6,13.6,13.6
C5,C7,38.6,38.6
C5,C8,56.8,56.8
C5,C9,25.5,25.5
C5,C10,36.0,36.0
C6,C1,31.3,31.3
C6,C2,40.3,40.3
C6,C3,84.4,84.4
C6,C4,28.0,28.0
C6,C5,13.6,13.6
C6,C6,0.0,0.0
C6,C7,33.1,33.1
C6,C8,67.2,67.2
C6,C9,34.0,34.0
C6,C10,34.2,34.2
C7,C1,63.4,63.4
C7,C2,66.7,66.7
C7,C3,104.1,104.1
C7,C4,61.0,61.0
C7,C5,38.6,38.6
C7,C6,33.1,33.1
C7,C7,0.0,0.0
C7,C8,94.9,94.9
C7,C9,34.7,34.7
C7,C10,10.0,10.0
C8,C1,39.2,39.2
C8,C2,28.2,28.2
C8,C3,33.5,33.5
C8,C4,46.9,46.9
C8,C5,56.8,56.8
C8,C6,67.2,67.2
C8,C7,94.9,94.9
C8,C8,0.0,0.0
C8,C9,68.6,68.6
C8,C10,90.4,90.4
C9,C1,49.2,49.2
C9,C2,42.0,42.0
C9,C3,71.0,71.0
C9,C4,51.6,51.6
C9,C5,25.5,25.5
C9,C6,34.0,34.0
C9,C7,34.7,34.7
C9,C8,68.6,68.6
C9,C9,0.0,0.0
C9,C10,26.2,26.2
C10,C1,62.1,62.1
C10,C2,62.4,62.4
C10,C3,96.8,96.8
C10,C4,61.0,61.0
C10,C5,36.0,36.0
C10,C6,34.2,34.2
C10,C7,10.0,10.0
C10,C8,90.4,90.4
C10,C9,26.2,26.2
C10,C10,0.0,0.0
