name,available,cluster,wage,skill,lb,ub
K1,10,C1,930,"S1,S3,S2,S6,S8",1,5
K2,10,C3,934,"S10,S2,S8,S3,S5",1,3
K3,10,C1,956,"S1,S3,S6,S5,S10",1,2
K4,10,C8,0,"S10,S3,S8,S5,S6",3,5
K5,10,C9,1027,"S8,S9,S7,S10,S5",1,5
K6,10,C5,980,"S10,S1,S5,S3,S8",1,4
K7,10,C8,934,"S7,S4,S2,S6,S3",2,3
K8,10,C7,905,"S7,S4,S10,S8,S3",2,4
K9,10,C10,0,"S1,S2,S4,S8,S3",2,3
K10,10,C8,0,"S2,S6,S3,S1,S8",3,4
K11,10,C1,0,"S5,S7,S1,S10,S8",2,4
K12,10,C9,923,"S9,S10,S8,S4,S6",4,5
K13,10,C8,0,"S6,S7,S9,S3,S2",4,5
K14,10,C1,0,"S9,S10,S5,S3,S2",2,5
K15,10,C2,0,"S5,S2,S1,S8,S3",1,3
K16,10,C1,1036,"S7,S3,S5,S2,S10",3,4
K17,10,C8,1098,"S9,S4,S1,S7,S5",1,4
K18,10,C6,1021,"S5,S6,S9,S3,S8",3,4
K19,10,C2,918,"S10,S8,S5,S7,S3",1,2
K20,10,C7,0,"S10,S3,S6,S2,S1",2,5
