id,cluster,client,skill,demand,consultant,priority
1,C5,V1,S8,3,,3
2,C10,V2,S10,5,,4
3,C10,V3,S1,5,,5
4,C9,V4,S7,4,,5
5,C9,V5,S10,2,,4
6,C1,V6,S2,2,,2
7,C6,V7,S8,3,,2
8,C7,V8,S8,5,,2
9,C6,V9,S7,6,,2
10,C7,V10,S7,6,,2
11,C3,V11,S1,6,,5
12,C6,V12,S7,6,,2
13,C7,V13,S4,1,,5
14,C8,V14,S7,4,,2
15,C9,V15,S4,1,,4
16,C10,V16,S8,5,,5
17,C7,V17,S5,5,,3
18,C10,V18,S2,4,,5
19,C3,V19,S8,4,,3
20,C7,V20,S7,5,,2
21,C3,V21,S1,4,,2
22,C6,V22,S8,5,,5
23,C6,V23,S2,3,,2
24,C4,V24,S2,2,,4
25,C4,V25,S3,2,,2
26,C1,V26,S6,4,,2
27,C4,V27,S1,3,,3
28,C9,V28,S6,3,,2
29,C10,V29,S1,1,,5
30,C3,V30,S10,1,,4
31,C1,V31,S2,2,,3
32,C4,V32,S4,1,,1
33,C4,V33,S3,1,,4
34,C7,V34,S7,4,,1
35,C10,V35,S1,1,,4
36,C2,V36,S1,1,,3
37,C3,V37,S1,5,,4
38,C6,V38,S10,2,,5
39,C4,V39,S6,1,,3
40,C9,V40,S10,3,,4
41,C2,V41,S10,4,,4
42,C6,V42,S10,6,K9,1
43,C6,V43,S10,2,K8,3
44,C8,V44,S8,4,K1,3
45,C8,V45,S9,3,K10,5
