airport_from,airport_to,cost,distance
C1,C1,0.0,0.0
C1,C2,29.7,29.7
C1,C3,21.1,21.1
C1,C4,61.0,61.0
C1,C5,80.0,80.0
C1,C6,92.6,92.6
C1,C7,37.4,37.4
C1,C8,12.4,12.4
C1,C9,67.5,67.5
C1,C10,95.1,95.1
C1,C11,24.3,24.3
C1,C12,110.4,110.4
C1,C13,45.3,45.3
C1,C14,18.6,18.6
C1,C15,75.1,75.1
C1,C16,81.0,81.0
C1,C17,87.3,87.3
C1,C18,80.4,80.4
C1,C19,39.1,39.1
C1,C20,92.5,92.5
C1,C21,39.4,39.4
C1,C22,31.4,31.4
C1,C23,61.1,61.1
C1,C24,94.0,94.0
C1,C25,74.5,74.5
C1,C26,44.4,44.4
C1,C27,82.7,82.7
C1,C28,41.0,41.0
C1,C29,38.0,38.0
C1,C30,58.0,58.0
C1,C31,34.1,34.1
C1,C32,51.4,51.4
C1,C33,16.2,16.2
C1,C34,66.6,66.6
C1,C35,77.8,77.8
C1,C36,51.0,51.0
C1,C37,67.0,67.0
C1,C38,83.9,83.9
C1,C39,93.3,93.3
C1,C40,51.9,51.9
C1,C41,75.2,75.2
C1,C42,66.1,66.1
C1,C43,76.2,76.2
C1,C44,77.2,77.2
C1,C45,12.2,12.2
C1,C46,52.9,52.9
C1,C47,49.1,49.1
C1,C48,79.2,79.2
C1,C49,64.0,64.0
C1,C50,76.8,76.8
C2,C1,29.7,29.7
C2,C2,0.0,0.0
C2,C3,46.0,46.0
C2,C4,34.0,34.0
C2,C5,68.7,68.7
C2,C6,66.9,66.9
C2,C7,11.4,11.4
C2,C8,42.1,42.1
C2,C9,57.7,57.7
C2,C10,71.1,71.1
C2,C11,52.3,52.3
C2,C12,85.1,85.1
C2,C13,17.7,17.7
C2,C14,39.3,39.3
C2,C15,51.0,51.0
C2,C16,69.7,69.7
C2,C17,67.7,67.7
C2,C18,58.8,58.8
C2,C19,38.9,38.9
C2,C20,90.4,90.4
C2,C21,25.3,25.3
C2,C22,20.8,20.8
C2,C23,60.2,60.2
C2,C24,89.2,89.2
