id,cluster,client,skill,demand,consultant,priority
1,C27,V1,S40,2,,2
2,C12,V2,S18,1,,5
3,C37,V3,S16,5,,1
4,C22,V4,S25,4,,1
5,C8,V5,S35,4,,3
6,C21,V6,S17,2,,2
7,C20,V7,S22,3,,4
8,C41,V8,S39,3,,1
9,C20,V9,S45,2,,3
10,C32,V10,S10,5,,3
11,C49,V11,S32,6,,5
12,C31,V12,S1,5,,1
13,C11,V13,S2,4,,1
14,C33,V14,S2,4,,1
15,C2,V15,S29,5,,3
16,C9,V16,S46,5,,5
17,C35,V17,S20,2,,4
18,C43,V18,S23,1,,5
19,C10,V19,S46,2,,1
20,C9,V20,S17,2,,4
21,C4,V21,S18,1,,2
22,C37,V22,S46,2,,2
23,C2,V23,S3,6,,1
24,C48,V24,S12,1,,5
25,C21,V25,S43,3,,3
26,C11,V26,S43,1,,3
27,C40,V27,S40,3,,2
28,C23,V28,S42,1,,3
29,C31,V29,S48,4,,1
30,C50,V30,S18,3,,4
31,C31,V31,S48,4,,4
32,C31,V32,S11,1,,4
33,C31,V33,S48,4,,5
34,C5,V34,S47,4,,4
35,C20,V35,S32,1,,1
36,C45,V36,S36,1,,2
37,C35,V37,S11,1,,4
38,C15,V38,S39,5,,4
39,C34,V39,S5,4,,5
40,C44,V40,S2,1,,3
41,C22,V41,S22,2,,3
42,C43,V42,S4,1,,4
43,C10,V43,S40,5,,4
44,C39,V44,S20,6,,2
45,C3,V45,S5,2,,2
46,C46,V46,S13,5,,5
47,C7,V47,S31,6,,5
48,C12,V48,S6,4,,5
49,C13,V49,S9,2,,5
50,C39,V50,S2,2,,4
51,C20,V51,S45,1,,4
52,C7,V52,S36,1,,4
53,C30,V53,S13,1,,5
54,C34,V54,S23,1,,5
55,C3,V55,S11,3,,3
56,C20,V56,S50,1,,4
57,C37,V57,S20,2,,2
58,C40,V58,S6,4,,1
59,C22,V59,S31,4,,5
60,C49,V60,S43,4,,5
61,C20,V61,S39,6,,3
62,C32,V62,S40,3,,4
63,C50,V63,S19,1,,4
64,C34,V64,S18,4,,4
65,C7,V65,S46,2,,1
66,C10,V66,S16,3,,2
67,C2,V67,S37,3,,2
68,C13,V68,S18,2,,5
69,C25,V69,S15,1,,4
70,C26,V70,S35,6,,4
71,C38,V71,S8,2,,2
72,C41,V72,S40,5,,5
73,C39,V73,S19,5,,3
74,C40,V74,S31,5,,4
75,C2,V75,S18,3,,3
76,C22,V76,S11,1,,3
77,C15,V77,S48,4,,3
78,C1,V78,S7,2,,5
79,C45,V79,S48,4,,4
80,C9,V80,S39,6,,3
81,C1,V81,S46,5,,3
82,C16,V82,S17,2,,1
83,C20,V83,S25,1,,3
84,C7,V84,S3,6,,5
85,C6,V85,S35,2,,3
86,C3,V86,S33,2,,3
87,C26,V87,S8,1,,4
88,C27,V88,S13,2,,4
89,C30,V89,S41,1,,5
90,C35,V90,S5,3,,3
91,C28,V91,S45,1,,5
92,C29,V92,S35,2,,5
93,C43,V93,S6,1,,4
94,C9,V94,S3,3,,5
95,C23,V95,S11,4,,2
96,C18,V96,S42,6,,5
97,C23,V97,S37,6,,5
98,C35,V98,S4,2,,1
99,C33,V99,S15,6,,3
100,C18,V100,S8,3,,3
101,C10,V101,S15,2,,1
102,C49,V102,S20,5,,2
103,C40,V103,S37,1,,3
104,C44,V104,S41,4,,3
105,C26,V105,S33,6,,4
106,C30,V106,S37,1,,2
107,C38,V107,S20,3,,3
108,C43,V108,S20,2,,2
109,C29,V109,S35,2,,2
110,C48,V110,S6,6,,1
111,C6,V111,S2,4,,3
112,C24,V112,S37,3,,2
113,C44,V113,S26,2,,5
114,C44,V114,S3,2,,1
115,C12,V115,S11,6,,5
116,C34,V116,S8,5,,1
117,C9,V117,S44,2,,3
118,C48,V118,S12,5,,4
119,C3,V119,S8,3,,3
120,C3,V120,S30,2,,1
121,C33,V121,S12,1,,4
122,C47,V122,S42,2,,4
123,C46,V123,S9,6,,5
124,C37,V124,S35,2,,2
125,C18,V125,S20,2,,5
126,C6,V126,S46,1,,3
127,C40,V127,S34,4,,2
128,C48,V128,S3,2,,1
129,C9,V129,S24,1,,5
130,C3,V130,S6,1,,2
131,C24,V131,S38,2,,1
132,C13,V132,S36,4,,1
133,C17,V133,S29,5,,4
134,C16,V134,S32,5,,2
135,C19,V135,S17,3,,5
136,C27,V136,S32,6,,3
137,C34,V137,S17,6,,1
138,C7,V138,S13,5,,2
139,C2,V139,S1,3,,4
140,C24,V140,S45,2,,4
141,C5,V141,S36,3,,1
142,C40,V142,S27,1,,1
143,C30,V143,S12,1,,2
144,C44,V144,S24,6,,5
145,C6,V145,S16,3,,3
146,C35,V146,S25,3,,5
147,C32,V147,S43,5,,3
148,C34,V148,S8,4,,4
149,C12,V149,S27,6,,3
150,C8,V150,S5,5,,1
151,C16,V151,S41,4,,5
152,C24,V152,S16,4,,1
153,C19,V153,S33,3,,5
154,C20,V154,S3,6,,2
155,C37,V155,S7,5,,2
156,C48,V156,S24,3,,3
157,C32,V157,S19,1,,4
158,C12,V158,S6,3,,5
159,C31,V159,S43,3,,3
160,C15,V160,S45,3,,2
161,C17,V161,S49,5,,4
162,C22,V162,S47,3,,1
163,C34,V163,S11,6,,2
164,C8,V164,S26,6,,3
165,C11,V165,S16,6,,5
166,C40,V166,S11,5,,4
167,C42,V167,S43,6,,2
168,C9,V168,S17,2,,4
169,C10,V169,S50,4,,1
170,C29,V170,S4,4,,1
171,C47,V171,S6,2,,3
172,C44,V172,S42,6,,2
173,C39,V173,S33,6,,2
174,C30,V174,S15,2,,2
175,C39,V175,S25,2,,1
176,C50,V176,S26,3,,2
177,C4,V177,S22,3,,5
178,C4,V178,S16,3,,3
179,C25,V179,S36,3,,1
180,C17,V180,S42,4,,4
181,C32,V181,S20,5,,3
182,C39,V182,S14,3,,4
183,C13,V183,S13,1,,4
184,C39,V184,S49,5,,5
185,C38,V185,S10,4,,3
186,C2,V186,S6,6,,1
187,C25,V187,S29,6,,1
188,C26,V188,S17,6,,5
189,C13,V189,S30,1,,5
190,C8,V190,S5,5,,1
191,C23,V191,S18,6,,3
192,C26,V192,S10,1,,2
193,C37,V193,S48,2,,4
194,C26,V194,S18,6,,2
195,C47,V195,S16,6,,4
196,C38,V196,S13,6,,5
197,C48,V197,S16,5,,1
198,C2,V198,S47,6,,3
199,C5,V199,S38,2,,5
200,C30,V200,S25,6,,2
201,C11,V201,S44,1,,3
202,C21,V202,S12,4,,2
203,C6,V203,S20,3,,4
204,C20,V204,S1,4,,2
205,C36,V205,S48,2,,1
206,C23,V206,S40,2,,5
207,C9,V207,S22,3,,3
208,C17,V208,S24,6,,4
209,C41,V209,S39,5,,1
210,C3,V210,S25,1,,1
211,C28,V211,S15,2,,1
212,C3,V212,S26,4,,4
213,C4,V213,S18,4,,5
214,C31,V214,S2,6,,3
215,C2,V215,S29,1,,4
216,C28,V216,S41,2,K86,2
217,C19,V217,S41,5,K8,1
218,C4,V218,S11,2,K61,3
219,C31,V219,S37,1,K7,5
220,C17,V220,S4,2,K38,3
221,C14,V221,S36,4,K33,3
222,C5,V222,S34,4,K35,4
223,C26,V223,S39,4,K38,3
224,C38,V224,S28,4,K8,1
225,C5,V225,S1,6,K99,5
226,C9,V226,S1,5,K79,5
227,C17,V227,S21,4,K99,5
228,C26,V228,S19,2,K43,5
229,C25,V229,S35,1,K37,5
230,C23,V230,S25,4,K25,1
231,C27,V231,S34,4,K87,3
232,C37,V232,S8,5,K35,4
233,C46,V233,S29,4,K95,3
234,C43,V234,S6,6,K76,4
235,C47,V235,S2,4,K75,1
236,C28,V236,S42,5,K34,2
237,C33,V237,S50,2,K73,4
