name,available,cluster,wage,skill,lb,ub
K1,10,C13,1036,"S35,S22,S12,S18,S16,S43,S45,S19,S27,S49,S42,S15,S2,S5,S7,S21,S47,S36,S13,S48,S30,S26,S28,S33,S41,S6,S23,S10,S25,S1,S39,S32,S29,S24,S8,S20,S38,S34,S4,S17",1,5
K2,10,C23,1028,"S40,S39,S21,S22,S46,S13,S32,S34,S16,S31,S26,S28,S24,S29,S49,S42,S37,S23,S30,S18,S8,S48,S19,S4,S1,S2,S50,S36,S14,S35,S44,S11,S9,S17,S7,S45,S47,S25,S43,S27",1,5
K3,10,C36,1073,"S43,S21,S48,S17,S50,S29,S41,S18,S49,S20,S26,S27,S12,S33,S11,S8,S44,S6,S31,S34,S3,S40,S37,S45,S28,S25,S38,S10,S47,S15,S35,S46,S16,S14,S5,S4,S22,S1,S42,S9",2,4
K4,10,C38,0,"S47,S6,S3,S23,S18,S42,S43,S9,S21,S38,S48,S20,S2,S45,S1,S25,S10,S31,S41,S29,S8,S26,S15,S27,S16,S7,S14,S11,S30,S17,S50,S24,S33,S40,S46,S19,S4,S36,S37,S13",2,4
K5,10,C8,1079,"S29,S3,S49,S17,S9,S25,S35,S46,S38,S42,S26,S7,S39,S45,S20,S5,S1,S2,S41,S47,S4,S19,S50,S43,S27,S30,S6,S21,S23,S16,S34,S12,S13,S36,S37,S8,S33,S14,S28,S10",1,5
K6,10,C4,0,"S49,S17,S3,S4,S10,S6,S43,S23,S50,S44,S45,S36,S32,S41,S46,S21,S33,S39,S34,S25,S40,S15,S12,S24,S20,S7,S18,S35,S11,S47,S31,S28,S38,S48,S19,S29,S8,S37,S30,S5",1,3
K7,10,C10,950,"S3,S43,S40,S35,S17,S6,S19,S31,S18,S24,S50,S34,S49,S36,S8,S46,S22,S11,S38,S44,S28,S33,S14,S9,S13,S5,S21,S2,S20,S1,S27,S42,S37,S12,S47,S25,S16,S10,S30,S45",2,5
K8,10,C9,1097,"S18,S15,S12,S48,S50,S36,S26,S25,S40,S34,S27,S8,S5,S2,S14,S22,S31,S20,S28,S37,S47,S9,S1,S32,S41,S38,S21,S19,S3,S17,S10,S7,S39,S46,S13,S42,S49,S43,S45,S11",1,5
K9,10,C46,0,"S44,S30,S2,S40,S16,S22,S19,S9,S24,S37,S7,S15,S11,S10,S36,S23,S13,S39,S41,S12,S49,S32,S8,S26,S45,S14,S6,S1,S31,S4,S17,S43,S46,S47,S20,S18,S3,S29,S21,S48",1,2
K10,10,C11,0,"S18,S6,S23,S17,S37,S7,S4,S21,S25,S9,S3,S45,S34,S5,S47,S20,S38,S15,S50,S22,S44,S27,S46,S42,S36,S16,S13,S24,S48,S40,S33,S28,S31,S32,S49,S43,S14,S11,S30,S35",3,4
K11,10,C40,1029,"S29,S39,S32,S26,S31,S43,S10,S47,S30,S25,S20,S1,S12,S27,S33,S7,S37,S13,S4,S22,S3,S16,S8,S6,S28,S34,S5,S45,S35,S41,S40,S11,S15,S36,S19,S50,S48,S2,S49,S17",1,5
K12,10,C9,0,"S49,S13,S17,S21,S11,S47,S1,S30,S42,S36,S28,S45,S2,S3,S14,S16,S27,S32,S31,S7,S34,S33,S37,S25,S23,S5,S15,S38,S29,S35,S46,S10,S43,S26,S44,S41,S4,S18,S39,S20",1,2
K13,10,C5,900,"S3,S28,S20,S46,S37,S34,S47,S32,S22,S21,S40,S4,S14,S9,S7,S11,S23,S44,S43,S30,S49,S36,S6,S25,S8,S38,S10,S29,S24,S18,S16,S12,S42,S26,S13,S2,S41,S15,S48,S27",1,5
K14,10,C17,0,"S17,S21,S13,S42,S38,S24,S20,S47,S19,S36,S27,S41,S9,S33,S37,S4,S1,S32,S39,S23,S46,S49,S14,S8,S6,S30,S26,S25,S45,S43,S11,S40,S35,S48,S5,S12,S3,S31,S28,S44",2,4
K15,10,C20,950,"S30,S28,S16,S7,S43,S36,S15,S34,S45,S48,S29,S49,S5,S27,S39,S46,S32,S13,S33,S8,S17,S25,S3,S6,S22,S20,S23,S11,S31,S18,S40,S37,S21,S42,S38,S26,S44,S41,S19,S2",2,5
K16,10,C4,1037,"S22,S49,S34,S40,S4,S26,S42,S37,S18,S38,S1,S20,S27,S13,S9,S7,S48,S17,S5,S2,S12,S23,S50,S3,S32,S14,S29,S36,S11,S8,S6,S46,S35,S33,S31,S30,S39,S45,S47,S19",2,4
K17,10,C8,1087,"S12,S46,S7,S37,S9,S24,S16,S41,S17,S8,S50,S48,S40,S28,S27,S26,S25,S29,S3,S44,S30,S18,S15,S23,S5,S43,S22,S36,S20,S13,S14,S34,S47,S4,S32,S35,S49,S38,S45,S31",2,5
K18,10,C2,0,"S16,S25,S33,S29,S23,S27,S45,S31,S37,S43,S35,S20,S18,S13,S46,S49,S32,S44,S11,S19,S6,S10,S36,S3,S14,S41,S38,S1,S40,S22,S28,S50,S4,S2,S47,S34,S26,S7,S15,S39",2,3
K19,10,C26,0,"S28,S8,S11,S43,S14,S22,S21,S40,S3,S29,S36,S39,S24,S18,S1,S25,S17,S27,S34,S48,S32,S37,S15,S47,S44,S10,S13,S46,S42,S9,S35,S20,S12,S33,S6,S7,S4,S23,S50,S49",1,2
K20,10,C32,1034,"S25,S8,S21,S33,S34,S2,S46,S22,S5,S39,S16,S7,S23,S17,S50,S19,S20,S11,S41,S3,S1,S26,S18,S40,S48,S28,S15,S37,S36,S10,S32,S27,S44,S35,S12,S31,S9,S30,S13,S49",3,5
K21,10,C33,994,"S42,S43,S22,S35,S40,S25,S18,S36,S8,S11,S1,S28,S33,S32,S17,S5,S45,S19,S31,S49,S2,S44,S23,S14,S47,S12,S30,S37,S3,S34,S13,S38,S29,S41,S20,S27,S15,S50,S16,S10",1,5
K22,10,C18,1001,"S10,S48,S28,S2,S18,S22,S39,S12,S21,S6,S41,S44,S31,S26,S5,S24,S33,S50,S3,S20,S43,S29,S35,S45,S16,S13,S46,S25,S1,S8,S27,S17,S37,S4,S9,S7,S14,S38,S23,S32",3,4
K23,10,C37,0,"S38,S30,S20,S23,S14,S31,S27,S42,S24,S18,S11,S1,S44,S2,S37,S17,S33,S45,S21,S28,S15,S6,S4,S13,S26,S25,S50,S29,S3,S35,S9,S8,S12,S39,S48,S7,S49,S40,S36,S41",4,5
K24,10,C47,990,"S39,S46,S28,S16,S6,S45,S23,S26,S42,S4,S19,S35,S21,S41,S27,S7,S36,S1,S14,S24,S15,S22,S49,S34,S40,S50,S2,S37,S43,S12,S32,S10,S11,S18,S30,S13,S38,S44,S29,S5",4,5
K25,10,C4,0,"S17,S14,S9,S1,S18,S40,S2,S39,S7,S29,S25,S5,S22,S16,S41,S31,S50,S37,S15,S4,S44,S13,S43,S42,S26,S21,S23,S49,S34,S35,S19,S45,S48,S30,S11,S36,S46,S3,S47,S33",1,3
K26,10,C27,1027,"S30,S21,S17,S41,S46,S6,S32,S2,S39,S15,S9,S37,S49,S29,S8,S27,S34,S18,S13,S1,S38,S48,S23,S42,S24,S45,S43,S7,S10,S26,S16,S22,S31,S20,S12,S50,S33,S40,S28,S25",2,3
