name,available,cluster,wage,skill,lb,ub
K1,10,C30,0,"S24,S5,S2,S21,S18,S27,S14,S13,S26,S9,S12,S23,S1,S30,S20",2,5
K2,10,C27,1020,"S10,S25,S3,S13,S9,S18,S29,S30,S2,S11,S17,S23,S12,S16,S5",1,3
K3,10,C14,0,"S2,S28,S9,S25,S16,S17,S23,S5,S1,S8,S7,S30,S13,S29,S21",1,2
K4,10,C16,909,"S20,S11,S9,S16,S10,S4,S22,S18,S25,S14,S8,S26,S30,S13,S12",2,3
K5,10,C9,0,"S9,S24,S2,S19,S18,S27,S13,S21,S15,S5,S16,S4,S1,S6,S23",1,3
K6,10,C5,0,"S27,S18,S28,S1,S7,S9,S21,S6,S24,S14,S26,S19,S30,S11,S8",1,3
K7,10,C10,0,"S28,S5,S6,S19,S27,S22,S14,S3,S20,S1,S4,S24,S13,S16,S17",1,2
K8,10,C9,1013,"S10,S12,S15,S9,S18,S1,S30,S28,S13,S3,S20,S6,S24,S25,S22",3,4
K9,10,C20,0,"S29,S20,S11,S19,S14,S25,S12,S21,S16,S22,S27,S7,S18,S2,S5",3,4
K10,10,C6,0,"S29,S8,S21,S3,S16,S23,S7,S1,S2,S18,S24,S15,S4,S10,S14",4,5
K11,10,C19,905,"S6,S8,S19,S17,S25,S30,S4,S21,S12,S2,S11,S29,S27,S18,S5",1,2
K12,10,C6,0,"S18,S28,S3,S24,S11,S27,S1,S2,S25,S19,S10,S5,S26,S30,S14",1,5
K13,10,C25,0,"S18,S22,S6,S8,S23,S5,S12,S15,S10,S9,S24,S28,S19,S30,S7",4,5
K14,10,C17,0,"S22,S19,S24,S16,S11,S9,S2,S18,S27,S4,S20,S3,S15,S14,S25",1,2
K15,10,C5,901,"S27,S14,S21,S8,S16,S18,S4,S5,S19,S22,S6,S30,S26,S12,S11",1,5
K16,10,C9,1049,"S8,S10,S1,S19,S3,S6,S16,S26,S7,S18,S11,S17,S12,S22,S14",1,3
K17,10,C12,0,"S16,S14,S1,S15,S3,S26,S9,S29,S22,S10,S7,S19,S30,S20,S18",1,5
K18,10,C2,0,"S10,S20,S22,S17,S13,S27,S8,S19,S18,S9,S6,S23,S24,S5,S26",1,4
K19,10,C21,1027,"S3,S17,S18,S9,S10,S15,S27,S21,S11,S25,S5,S4,S14,S6,S20",4,5
K20,10,C17,0,"S29,S22,S1,S11,S21,S3,S18,S12,S25,S15,S7,S28,S10,S5,S9",1,4
K21,10,C21,1010,"S11,S7,S8,S29,S2,S25,S21,S19,S14,S15,S24,S12,S22,S1,S28",2,3
K22,10,C3,0,"S26,S25,S21,S28,S2,S4,S24,S7,S11,S9,S29,S14,S8,S6,S12",3,5
K23,10,C11,0,"S24,S7,S9,S22,S17,S13,S27,S11,S5,S4,S21,S30,S29,S15,S18",3,4
K24,10,C13,0,"S12,S2,S26,S28,S20,S9,S13,S14,S25,S27,S21,S6,S5,S15,S7",2,4
K25,10,C2,0,"S2,S10,S25,S1,S19,S3,S17,S22,S12,S4,S24,S29,S21,S5,S7",2,5
