airport_from,airport_to,cost,distance
C1,C1,0.0,0.0
C1,C2,90.2,90.2
C1,C3,63.8,63.8
C1,C4,43.0,43.0
C1,C5,48.8,48.8
C1,C6,7.2,7.2
C1,C7,21.3,21.3
C1,C8,60.9,60.9
C1,C9,48.4,48.4
C1,C10,51.6,51.6
C1,C11,82.0,82.0
C1,C12,79.7,79.7
C1,C13,59.5,59.5
C1,C14,83.9,83.9
C1,C15,97.9,97.9
C1,C16,60.4,60.4
C1,C17,56.6,56.6
C1,C18,54.6,54.6
C1,C19,93.9,93.9
C1,C20,65.9,65.9
C1,C21,26.2,26.2
C1,C22,49.0,49.0
C1,C23,80.7,80.7
C1,C24,84.7,84.7
C1,C25,64.6,64.6
C1,C26,66.7,66.7
C1,C27,50.4,50.4
C1,C28,44.7,44.7
C1,C29,93.0,93.0
C1,C30,18.1,18.1
C2,C1,90.2,90.2
C2,C2,0.0,0.0
C2,C3,32.2,32.2
C2,C4,86.6,86.6
C2,C5,64.0,64.0
C2,C6,92.0,92.0
C2,C7,85.4,85.4
C2,C8,29.4,29.4
C2,C9,89.2,89.2
C2,C10,75.7,75.7
C2,C11,34.1,34.1
C2,C12,57.6,57.6
C2,C13,40.6,40.6
C2,C14,15.6,15.6
C2,C15,69.4,69.4
C2,C16,30.0,30.0
C2,C17,82.5,82.5
C2,C18,74.9,74.9
C2,C19,11.0,11.0
C2,C20,83.3,83.3
C2,C21,67.5,67.5
C2,C22,116.0,116.0
C2,C23,10.0,10.0
C2,C24,14.9,14.9
C2,C25,61.8,61.8
C2,C26,34.5,34.5
C2,C27,122.4,122.4
C2,C28,59.1,59.1
C2,C29,7.0,7.0
C2,C30,87.3,87.3
C3,C1,63.8,63.8
C3,C2,32.2,32.2
C3,C3,0.0,0.0
C3,C4,54.3,54.3
C3,C5,31.8,31.8
C3,C6,64.0,64.0
C3,C7,65.2,65.2
C3,C8,13.6,13.6
C3,C9,78.2,78.2
C3,C10,67.7,67.7
C3,C11,48.4,48.4
C3,C12,65.6,65.6
C3,C13,8.5,8.5
C3,C14,20.9,20.9
C3,C15,82.8,82.8
C3,C16,17.7,17.7
C3,C17,75.7,75.7
C3,C18,68.4,68.4
C3,C19,31.8,31.8
C3,C20,80.0,80.0
C3,C21,38.5,38.5
C3,C22,99.5,99.5
C3,C23,26.0,26.0
C3,C24,21.8,21.8
C3,C25,61.5,61.5
C3,C26,6.1,6.1
C3,C27,104.6,104.6
C3,C28,27.0,27.0
C3,C29,32.1,32.1
C3,C30,57.2,57.2
C4,C1,43.0,43.0
C4,C2,86.6,86.6
C4,C3,54.3,54.3
C4,C4,0.0,0.0
C4,C5,23.0,23.0
C4,C6,37.1,37.1
C4,C7,61.1,61.1
C4,C8,61.0,61.0
C4,C9,87.1,87.1
C4,C10,85.2,85.2
C4,C11,94.8,94.8
C4,C12,102.8,102.8
C4,C13,46.1,46.1
C4,C14,74.0,74.0
C4,C15,122.0,122.0
C4,C16,63.3,63.3
C4,C17,92.2,92.2
C4,C18,87.7,87.7
C4,C19,85.0,85.0
C4,C20,100.5,100.5
C4,C21,31.2,31.2
C4,C22,92.1,92.1
C4,C23,79.6,79.6
C4,C24,75.0,75.0
C4,C25,91.3,91.3
C4,C26,53.0,53.0
C4,C27,93.1,93.1
C4,C28,27.7,27.7
C4,C29,86.1,86.1
C4,C30,25.0,25.0
C5,C1,48.8,48.8
C5,C2,64.0,64.0
C5,C3,31.8,31.8
C5,C4,23.0,23.0
C5,C5,0.0,0.0
C5,C6,45.5,45.5
C5,C7,60.4,60.4
C5,C8,40.3,40.3
C5,C9,82.5,82.5
C5,C10,76.9,76.9
C5,C11,75.8,75.8
C5,C12,87.5,87.5
C5,C13,23.3,23.3
C5,C14,51.0,51.0
C5,C15,106.3,106.3
C5,C16,43.3,43.3
C5,C17,84.6,84.6
C5,C18,78.7,78.7
C5,C19,62.0,62.0
C5,C20,91.7,91.7
C5,C21,25.2,25.2
C5,C22,94.9,94.9
C5,C23,57.6,57.6
C5,C24,52.0,52.0
C5,C25,78.4,78.4
C5,C26,30.0,30.0
C5,C27,97.8,97.8
C5,C28,8.1,8.1
C5,C29,63.1,63.1
C5,C30,34.7,34.7
C6,C1,7.2,7.2
C6,C2,92.0,92.0
C6,C3,64.0,64.0
C6,C4,37.1,37.1
C6,C5,45.5,45.5
C6,C6,0.0,0.0
C6,C7,28.4,28.4
C6,C8,62.6,62.6
C6,C9,55.6,55.6
C6,C10,58.4,58.4
C6,C11,86.3,86.3
C6,C12,85.4,85.4
C6,C13,58.8,58.8
C6,C14,84.5,84.5
C6,C15,103.9,103.9
C6,C16,62.6,62.6
