id,cluster,client,skill,demand,consultant,priority
1,C12,V1,S11,3,,1
2,C8,V2,S10,5,,4
3,C13,V3,S3,4,,5
4,C19,V4,S27,6,,5
5,C1,V5,S24,5,,3
6,C11,V6,S23,5,,3
7,C6,V7,S4,4,,1
8,C26,V8,S24,6,,3
9,C30,V9,S6,6,,1
10,C25,V10,S12,5,,1
11,C3,V11,S8,2,,3
12,C18,V12,S27,1,,5
13,C3,V13,S30,4,,5
14,C25,V14,S19,4,,3
15,C18,V15,S14,5,,4
16,C21,V16,S30,5,,2
17,C18,V17,S13,6,,4
18,C30,V18,S22,2,,2
19,C12,V19,S28,3,,3
20,C13,V20,S27,3,,1
21,C22,V21,S25,2,,2
22,C24,V22,S2,6,,5
23,C27,V23,S28,5,,5
24,C22,V24,S25,4,,4
25,C8,V25,S6,4,,2
26,C11,V26,S3,3,,5
27,C24,V27,S24,2,,4
28,C16,V28,S3,2,,1
29,C24,V29,S6,4,,3
30,C9,V30,S1,5,,3
31,C11,V31,S26,5,,1
32,C5,V32,S10,3,,3
33,C7,V33,S2,5,,2
34,C19,V34,S3,6,,3
35,C11,V35,S8,6,,3
36,C2,V36,S24,1,,2
37,C20,V37,S21,4,,4
38,C28,V38,S30,4,,2
39,C19,V39,S29,2,,4
40,C2,V40,S14,5,,4
41,C12,V41,S25,3,,4
42,C5,V42,S7,2,,4
43,C18,V43,S4,3,,2
44,C7,V44,S29,1,,1
45,C22,V45,S9,5,,5
46,C11,V46,S26,6,,3
47,C13,V47,S29,2,,3
48,C12,V48,S19,4,,1
49,C22,V49,S3,6,,3
50,C14,V50,S7,1,,1
51,C24,V51,S6,4,,5
52,C24,V52,S12,4,,1
53,C30,V53,S10,4,,2
54,C20,V54,S3,4,,4
55,C3,V55,S23,4,,4
56,C13,V56,S10,6,,4
57,C21,V57,S24,5,,5
58,C17,V58,S9,5,,1
59,C14,V59,S17,3,,5
60,C19,V60,S28,3,,1
61,C14,V61,S26,6,,4
62,C16,V62,S14,2,,5
63,C2,V63,S11,4,,1
64,C2,V64,S14,1,,5
65,C19,V65,S25,5,,1
66,C5,V66,S3,2,,2
67,C29,V67,S23,5,,2
68,C28,V68,S17,5,,5
69,C4,V69,S18,1,,2
70,C25,V70,S26,6,,2
71,C8,V71,S11,3,,3
72,C6,V72,S23,5,,5
73,C13,V73,S2,3,,2
74,C16,V74,S10,3,,4
75,C10,V75,S9,3,,4
76,C20,V76,S23,5,,4
77,C23,V77,S24,6,,1
78,C26,V78,S15,2,,2
79,C20,V79,S10,5,,5
80,C9,V80,S15,5,,4
81,C6,V81,S22,6,,2
82,C24,V82,S14,6,,3
83,C6,V83,S10,2,,1
84,C24,V84,S21,2,,2
85,C27,V85,S21,2,,3
86,C11,V86,S17,5,,4
87,C19,V87,S18,5,,3
88,C22,V88,S20,5,,1
89,C3,V89,S22,2,,4
90,C17,V90,S20,1,,3
91,C13,V91,S28,4,,5
92,C9,V92,S16,3,,2
93,C13,V93,S19,6,,1
94,C15,V94,S2,5,,4
95,C21,V95,S23,6,,1
96,C7,V96,S18,1,,2
97,C13,V97,S14,5,,1
98,C29,V98,S28,6,,2
99,C25,V99,S27,2,,1
100,C10,V100,S6,6,,4
101,C13,V101,S4,5,,2
102,C11,V102,S25,1,,1
103,C8,V103,S18,6,,2
104,C18,V104,S2,4,,1
105,C19,V105,S9,6,,1
106,C8,V106,S9,3,,2
107,C21,V107,S28,6,,1
108,C6,V108,S9,4,,4
109,C9,V109,S23,5,,2
110,C30,V110,S23,3,,4
111,C25,V111,S8,5,,5
112,C18,V112,S17,5,,1
113,C22,V113,S22,3,,3
114,C28,V114,S14,5,K29,2
115,C16,V115,S27,3,K2,2
116,C28,V116,S5,4,K42,3
117,C2,V117,S25,5,K60,5
118,C20,V118,S25,5,K15,2
119,C28,V119,S3,3,K6,3
120,C15,V120,S26,5,K20,2
121,C10,V121,S2,1,K8,4
122,C23,V122,S21,3,K46,5
123,C28,V123,S6,5,K31,5
124,C27,V124,S25,3,K15,2
125,C5,V125,S20,5,K60,5
126,C26,V126,S3,3,K43,2
