id,client,cluster,skill,demand,consultant,priority
1,1,ABQ,F,2,,2
2,2,ATL,BD,3,,4
3,3,ATL,D,2,,2
4,4,ATL,E6,3,,5
5,5,ATL,E6,2,,5
6,6,ATL,F,6,,1
7,7,ATL,H,1,,2
8,8,ATL,O,2,,3
9,9,ATL,R,1,,5
10,10,BOS,B,2,,3
11,11,BOS,BP,2,,1
12,12,BOS,BP,1,,5
13,13,BOS,D,3,,2
14,14,BOS,DIP,2,,4
15,15,BOS,E,1,,3
16,16,BOS,F,4,,2
17,17,BOS,IF,5,,1
18,18,BWI,B,3,,5
19,19,BWI,E6,1,,1
20,20,BWI,F,2,,5
21,21,BWI,H,8,,4
22,22,BWI,IF,1,,2
23,23,BWI,R,4,,2
24,24,BZN,D,4,,2
25,25,BZN,F,3,,4
26,26,BZN,O,2,,1
27,27,BZN,SB,1,,2
28,28,CLT,D,4,,5
29,29,CLT,ESD,1,,5
30,30,CLT,F,2,,1
31,31,CLT,I,3,,2
32,32,CMH,D,1,,2
33,33,CMH,D,1,,1
34,34,CMH,DIP,4,,4
35,35,CMH,E,3,,2
36,36,CMH,E,4,,1
37,37,CMH,ESD,3,,1
38,38,CMH,F,5,,5
39,39,CMH,H,2,,1
40,40,CMH,H,5,,2
41,41,CMH,I,6,,3
42,42,CMH,R,2,,5
43,43,DFW,BD,3,,4
44,44,DFW,BP,2,,5
45,45,DFW,ESD,1,,2
46,46,DFW,F,5,,1
47,47,DFW,H,1,,5
48,48,DFW,R,1,,5
49,49,DTW,BD,2,,5
50,50,DTW,BP,2,,2
51,51,DTW,D,8,,2
52,52,DTW,DS,2,,1
53,53,DTW,E,1,,2
54,54,DTW,F,8,,5
55,55,DTW,H,9,,1
56,56,DTW,H,1,,5
57,57,DTW,I,2,,4
58,58,DTW,I,1,,2
59,59,DTW,IF,3,,2
60,60,EWN,D,4,,5
61,61,EWN,DS,5,,5
62,62,EWN,DS,1,,4
63,63,EWN,F,2,,2
64,64,EWN,H,5,,1
65,65,EWN,I,4,,1
66,66,EWN,O,3,,1
67,67,GEG,JIS,1,,4
68,68,IAH,BD,5,,4
69,69,IAH,BP,5,,1
70,70,IAH,DIP,3,,4
71,71,IAH,DS,2,,5
72,72,IAH,E,1,,5
73,73,IAH,E,2,,1
74,74,IAH,F,1,,3
75,75,IAH,SB,1,,4
76,76,ICT,B,3,,4
77,77,ICT,BP,5,,5
78,78,ICT,D,4,,3
79,79,ICT,F,5,,2
80,80,ICT,H,1,,3
81,81,LAX,BD,2,,3
82,82,LAX,D,9,,1
83,83,LAX,DS,2,,1
84,84,LAX,E6,2,,5
85,85,LAX,F,6,,3
86,86,LAX,H,3,,2
87,87,LAX,I,3,,2
88,88,LAX,O,1,,3
89,89,LAX,R,2,,2
90,90,LAX,R,2,,1
91,91,LBB,D,1,,1
92,92,LBB,DS,3,,3
93,93,MCI,ESD,5,,3
94,94,MCI,ESV,4,,4
95,95,MCI,ESV,3,,2
96,96,MCI,F,2,,4
97,97,MCI,F,1,,3
98,98,MCI,H,3,,5
99,99,MCI,SB,3,,1
100,100,MCO,B,5,,2
101,101,MCO,D,3,,4
102,102,MCO,DIP,1,,4
103,103,MCO,E,3,,4
104,104,MCO,F,1,,1
105,105,MCO,H,2,,1
106,106,MCO,SB,2,,3
107,107,MEM,B,4,,4
108,108,MEM,DIP,5,,5
109,109,MEM,ESD,3,,2
110,110,MEM,ESV,5,,2
111,111,MEM,F,1,,4
112,112,MEM,H,5,,5
113,113,MEM,IF,1,,2
114,114,MSP,D,2,,5
115,115,MSP,DS,1,,1
116,116,MSP,ESD,4,,4
117,117,MSP,F,3,,3
118,118,MSP,H,1,,2
119,119,MSY,DIP,3,,2
120,120,MSY,E,1,,2
121,121,MSY,F,7,,2
122,122,MSY,F,5,,3
123,123,MSY,I,1,,4
124,124,ORD,D,2,,2
125,125,ORD,DIP,3,,2
126,126,ORD,E,2,,2
127,127,ORD,E,1,,2
128,128,ORD,F,6,,1
129,129,ORD,I,2,,5
130,130,PDX,IF,5,,3
131,131,PDX,JIS,5,,5
132,132,SAT,SB,2,,5
133,133,SEA,B,3,,4
134,134,SEA,BD,5,,5
135,135,SEA,BP,1,,4
136,136,SEA,BP,5,,1
137,137,SEA,DIP,2,,1
138,138,SFO,B,3,,3
139,139,SFO,BP,2,,2
140,140,SFO,D,8,,3
141,141,SFO,F,8,,3
142,142,SFO,H,2,,2
143,143,SFO,I,4,,5
144,144,SFO,I,2,,4
145,145,SLC,D,2,,4
146,146,SLC,DIP,4,,2
147,147,SLC,E,2,,5
148,148,SLC,H,1,,2
149,149,SLC,O,3,,2
150,150,ATL,BD,2,DG,5
151,151,BOS,B,2,CM,5
152,152,BWI,R,2,CM,5
153,153,CMH,E,1,RM,4
154,154,DFW,R,2,ED,5
155,155,DTW,E,4,JL,5
156,156,DTW,BD,2,RV,3
157,157,EWN,O,2,Ma,4
158,158,LAX,DS,4,Da,2
159,159,LAX,BD,2,MG,5
160,160,LAX,O,4,TD,3
161,161,MEM,IF,1,ED,5
162,162,MSY,E,2,GS,3
163,163,SLC,D,4,BM,1
