airport_from,airport_to,cost,distance
C1,C1,0.0,0.0
C1,C2,21.5,21.5
C1,C3,65.3,65.3
C1,C4,40.8,40.8
C1,C5,90.0,90.0
C1,C6,29.1,29.1
C1,C7,46.8,46.8
C1,C8,24.5,24.5
C1,C9,52.0,52.0
C1,C10,71.4,71.4
C2,C1,21.5,21.5
C2,C2,0.0,0.0
C2,C3,43.8,43.8
C2,C4,32.0,32.0
C2,C5,68.5,68.5
C2,C6,32.4,32.4
C2,C7,48.8,48.8
C2,C8,19.8,19.8
C2,C9,37.7,37.7
C2,C10,50.3,50.3
C3,C1,65.3,65.3
C3,C2,43.8,43.8
C3,C3,0.0,0.0
C3,C4,51.0,51.0
C3,C5,25.0,25.0
C3,C6,66.0,66.0
C3,C7,75.3,75.3
C3,C8,53.3,53.3
C3,C9,40.6,40.6
C3,C10,13.0,13.0
C4,C1,40.8,40.8
C4,C2,32.0,32.0
C4,C3,51.0,51.0
C4,C4,0.0,0.0
C4,C5,74.1,74.1
C4,C6,20.0,20.0
C4,C7,24.3,24.3
C4,C8,16.3,16.3
C4,C9,65.9,65.9
C4,C10,49.1,49.1
C5,C1,90.0,90.0
C5,C2,68.5,68.5
C5,C3,25.0,25.0
C5,C4,74.1,74.1
C5,C5,0.0,0.0
C5,C6,90.4,90.4
C5,C7,98.2,98.2
C5,C8,78.1,78.1
C5,C9,56.3,56.3
C5,C10,25.7,25.7
C6,C1,29.1,29.1
C6,C2,32.4,32.4
C6,C3,66.0,66.0
C6,C4,20.0,20.0
C6,C5,90.4,90.4
C6,C6,0.0,0.0
C6,C7,17.9,17.9
C6,C8,13.6,13.6
C6,C9,70.2,70.2
C6,C10,66.7,66.7
C7,C1,46.8,46.8
C7,C2,48.8,48.8
C7,C3,75.3,75.3
C7,C4,24.3,24.3
C7,C5,98.2,98.2
C7,C6,17.9,17.9
C7,C7,0.0,0.0
C7,C8,29.0,29.0
C7,C9,86.1,86.1
C7,C10,73.0,73.0
C8,C1,24.5,24.5
C8,C2,19.8,19.8
C8,C3,53.3,53.3
C8,C4,16.3,16.3
C8,C5,78.1,78.1
C8,C6,13.6,13.6
C8,C7,29.0,29.0
C8,C8,0.0,0.0
C8,C9,57.2,57.2
C8,C10,55.4,55.4
C9,C1,52.0,52.0
C9,C2,37.7,37.7
C9,C3,40.6,40.6
C9,C4,65.9,65.9
C9,C5,56.3,56.3
C9,C6,70.2,70.2
C9,C7,86.1,86.1
C9,C8,57.2,57.2
C9,C9,0.0,0.0
C9,C10,53.3,53.3
C10,C1,71.4,71.4
C10,C2,50.3,50.3
C10,C3,13.0,13.0
C10,C4,49.1,49.1
C10,C5,25.7,25.7
C10,C6,66.7,66.7
C10,C7,73.0,73.0
C10,C8,55.4,55.4
C10,C9,53.3,53.3
C10,C10,0.0,0.0
