id,cluster,client,skill,demand,consultant,priority
1,C8,V1,S5,3,,2
2,C6,V2,S7,1,,4
3,C8,V3,S10,6,,5
4,C4,V4,S9,2,,2
5,C3,V5,S6,4,,3
6,C4,V6,S7,5,,3
7,C6,V7,S4,1,,3
8,C2,V8,S1,5,,1
9,C9,V9,S2,2,,2
10,C6,V10,S9,6,,5
11,C1,V11,S9,2,,2
12,C2,V12,S8,5,,2
13,C10,V13,S2,1,,4
14,C2,V14,S1,6,,2
15,C9,V15,S6,1,,1
16,C9,V16,S6,4,,4
17,C4,V17,S6,6,,4
18,C7,V18,S8,6,,2
19,C4,V19,S2,1,,4
20,C3,V20,S5,5,,4
21,C6,V21,S8,4,,2
22,C2,V22,S4,3,,2
23,C8,V23,S3,2,,1
24,C5,V24,S5,4,,1
25,C8,V25,S8,4,,5
26,C9,V26,S6,6,,2
27,C2,V27,S9,2,,4
28,C6,V28,S10,2,,5
29,C10,V29,S3,3,,1
30,C1,V30,S5,4,,3
31,C10,V31,S4,5,,4
32,C10,V32,S3,3,,4
33,C4,V33,S4,5,,4
34,C4,V34,S5,5,,1
35,C4,V35,S6,2,,4
36,C1,V36,S7,2,,3
37,C10,V37,S5,6,,3
38,C6,V38,S4,1,,1
39,C2,V39,S2,6,K14,4
40,C1,V40,S4,1,K17,2
41,C2,V41,S7,5,K13,5
42,C6,V42,S7,3,K8,3
