name,available,cluster,wage,skill,lb,ub
K1,10,C39,1074,"S42,S3,S50,S8,S24,S23,S20,S6,S19,S29,S27,S33,S21,S49,S40,S41,S1,S13,S4,S43,S22,S18,S2,S45,S32",2,5
K2,10,C50,0,"S17,S14,S20,S46,S30,S26,S24,S4,S8,S34,S39,S31,S44,S33,S21,S3,S27,S48,S41,S19,S23,S16,S13,S11,S2",3,4
K3,10,C30,953,"S35,S32,S41,S18,S13,S38,S40,S31,S27,S19,S12,S17,S24,S21,S29,S46,S14,S44,S43,S8,S11,S25,S10,S49,S4",2,3
K4,10,C33,0,"S49,S33,S19,S1,S12,S6,S25,S9,S3,S29,S30,S22,S47,S16,S44,S39,S50,S18,S13,S2,S31,S27,S5,S21,S14",2,5
K5,10,C13,0,"S3,S24,S20,S34,S47,S22,S43,S5,S12,S7,S41,S15,S42,S2,S4,S48,S33,S27,S29,S21,S50,S23,S11,S14,S8",3,4
K6,10,C47,0,"S35,S11,S46,S15,S37,S25,S16,S29,S49,S50,S13,S40,S23,S22,S9,S10,S5,S41,S8,S6,S12,S3,S7,S42,S17",4,5
K7,10,C16,1053,"S28,S27,S13,S45,S9,S41,S15,S40,S50,S43,S33,S39,S16,S20,S49,S3,S46,S14,S36,S42,S38,S22,S32,S25,S34",2,3
K8,10,C7,1047,"S21,S47,S23,S46,S44,S43,S25,S35,S2,S8,S19,S7,S5,S41,S37,S50,S10,S9,S14,S42,S27,S20,S26,S48,S15",4,5
K9,10,C37,1046,"S15,S21,S27,S20,S33,S7,S10,S8,S37,S44,S11,S50,S36,S4,S35,S34,S32,S24,S23,S19,S46,S16,S43,S29,S26",4,5
K10,10,C22,0,"S2,S7,S14,S38,S37,S9,S46,S48,S44,S1,S28,S25,S39,S5,S41,S6,S30,S3,S36,S29,S40,S12,S4,S19,S20",1,4
K11,10,C22,0,"S15,S9,S25,S4,S22,S39,S33,S20,S24,S31,S36,S30,S2,S11,S46,S50,S41,S21,S7,S19,S3,S14,S34,S42,S37",1,2
K12,10,C14,0,"S25,S22,S41,S7,S26,S37,S16,S33,S39,S47,S23,S29,S21,S4,S38,S31,S28,S49,S15,S5,S1,S18,S46,S40,S50",4,5
K13,10,C26,1007,"S49,S47,S13,S10,S32,S9,S50,S15,S42,S11,S35,S27,S29,S6,S12,S34,S43,S37,S31,S2,S41,S23,S36,S48,S45",2,3
K14,10,C8,0,"S29,S33,S41,S34,S8,S5,S26,S19,S14,S49,S36,S25,S42,S40,S20,S16,S38,S4,S15,S13,S45,S46,S39,S21,S24",2,5
K15,10,C39,1016,"S35,S14,S13,S6,S17,S49,S38,S46,S28,S37,S26,S24,S40,S10,S19,S15,S20,S1,S32,S25,S39,S42,S12,S7,S30",1,2
K16,10,C44,0,"S17,S44,S47,S16,S24,S25,S49,S29,S7,S9,S40,S33,S19,S41,S39,S32,S1,S13,S31,S35,S50,S38,S2,S30,S11",3,4
K17,10,C28,0,"S46,S4,S36,S7,S45,S16,S1,S49,S47,S6,S38,S37,S17,S28,S42,S40,S29,S21,S48,S24,S11,S41,S14,S3,S19",2,3
K18,10,C5,1028,"S10,S4,S36,S46,S38,S48,S8,S42,S24,S34,S2,S11,S22,S28,S14,S29,S39,S21,S19,S31,S7,S26,S49,S33,S50",2,4
K19,10,C33,0,"S48,S6,S16,S5,S31,S9,S7,S30,S29,S18,S17,S24,S42,S8,S47,S27,S22,S46,S41,S37,S12,S35,S14,S33,S38",1,5
