cluster,x,y
C1,75,97
C2,47,87
C3,93,86
C4,14,95
C5,57,19
C6,9,32
C7,44,76
C8,87,100
C9,61,31
C10,14,24
C11,99,93
C12,0,16
C13,30,92
C14,86,82
C15,25,41
C16,57,18
C17,32,21
C18,29,31
C19,73,58
C20,85,5
C21,55,63
C22,59,70
C23,79,36
C24,77,3
C25,47,28
C26,64,54
C27,17,38
C28,34,95
C29,75,59
C30,19,82
C31,49,75
C32,87,47
C33,81,82
C34,21,58
C35,18,44
C36,99,52
C37,77,30
C38,87,14
C39,67,4
C40,35,64
C41,12,56
C42,98,35
C43,70,21
C44,100,24
C45,65,90
C46,89,46
C47,26,94
C48,81,18
C49,35,47
C50,51,24
