airport_from,airport_to,cost,distance
C1,C1,0.0,0.0
C1,C2,79.0,79.0
C1,C3,66.1,66.1
C1,C4,99.0,99.0
C1,C5,54.1,54.1
C1,C6,70.3,70.3
C1,C7,74.7,74.7
C1,C8,31.1,31.1
C1,C9,68.4,68.4
C1,C10,88.6,88.6
C1,C11,17.3,17.3
C1,C12,74.5,74.5
C1,C13,8.6,8.6
C1,C14,40.5,40.5
C1,C15,79.2,79.2
C1,C16,38.9,38.9
C1,C17,61.5,61.5
C1,C18,60.2,60.2
C1,C19,82.0,82.0
C1,C20,99.0,99.0
C1,C21,7.8,7.8
C1,C22,81.8,81.8
C1,C23,70.4,70.4
C1,C24,76.8,76.8
C1,C25,45.0,45.0
C1,C26,2.2,2.2
C1,C27,77.2,77.2
C1,C28,45.3,45.3
C1,C29,94.4,94.4
C1,C30,93.2,93.2
C1,C31,34.4,34.4
C1,C32,25.1,25.1
C1,C33,38.3,38.3
C1,C34,65.8,65.8
C1,C35,58.5,58.5
C1,C36,78.6,78.6
C1,C37,36.1,36.1
C1,C38,77.0,77.0
C1,C39,92.8,92.8
C1,C40,31.4,31.4
C1,C41,49.0,49.0
C1,C42,89.6,89.6
C1,C43,86.3,86.3
C1,C44,51.5,51.5
C1,C45,18.0,18.0
C1,C46,43.9,43.9
C1,C47,30.7,30.7
C1,C48,59.5,59.5
C1,C49,76.2,76.2
C1,C50,57.5,57.5
C2,C1,79.0,79.0
C2,C2,0.0,0.0
C2,C3,104.0,104.0
C2,C4,59.0,59.0
C2,C5,103.4,103.4
C2,C6,49.7,49.7
C2,C7,114.5,114.5
C2,C8,86.0,86.0
C2,C9,26.6,26.6
C2,C10,57.3,57.3
C2,C11,96.0,96.0
C2,C12,18.0,18.0
C2,C13,84.1,84.1
C2,C14,99.7,99.7
C2,C15,7.0,7.0
C2,C16,103.1,103.1
C2,C17,55.3,55.3
C2,C18,20.2,20.2
C2,C19,16.0,16.0
C2,C20,59.0,59.0
C2,C21,74.4,74.4
C2,C22,46.6,46.6
C2,C23,15.6,15.6
C2,C24,65.8,65.8
C2,C25,34.0,34.0
C2,C26,78.1,78.1
C2,C27,7.3,7.3
C2,C28,54.4,54.4
C2,C29,77.5,77.5
C2,C30,44.0,44.0
C2,C31,89.9,89.9
C2,C32,91.4,91.4
C2,C33,82.3,82.3
C2,C34,64.8,64.8
C2,C35,103.5,103.5
C2,C36,53.9,53.9
C2,C37,59.1,59.1
C2,C38,2.2,2.2
C2,C39,69.1,69.1
C2,C40,53.9,53.9
C2,C41,103.3,103.3
C2,C42,76.0,76.0
C2,C43,62.9,62.9
C2,C44,41.0,41.0
C2,C45,79.6,79.6
C2,C46,43.8,43.8
C2,C47,50.6,50.6
C2,C48,29.2,29.2
C2,C49,120.8,120.8
C2,C50,85.3,85.3
C3,C1,66.1,66.1
C3,C2,104.0,104.0
C3,C3,0.0,0.0
C3,C4,81.2,81.2
C3,C5,15.3,15.3
C3,C6,60.7,60.7
C3,C7,10.6,10.6
C3,C8,35.0,35.0
C3,C9,79.1,79.1
C3,C10,70.5,70.5
C3,C11,64.5,64.5
C3,C12,111.1,111.1
C3,C13,59.0,59.0
C3,C14,30.1,30.1
C3,C15,108.5,108.5
C3,C16,35.8,35.8
C3,C17,51.0,51.0
C3,C18,94.9,94.9
C3,C19,95.9,95.9
C3,C20,81.2,81.2
C3,C21,72.4,72.4
C3,C22,72.5,72.5
C3,C23,88.8,88.8
C3,C24,51.4,51.4
C3,C25,80.8,80.8
C3,C26,68.1,68.1
C3,C27,107.0,107.0
C3,C28,50.2,50.2
C3,C29,59.8,59.8
C3,C30,86.3,86.3
C3,C31,32.1,32.1
C3,C32,43.6,43.6
C3,C33,29.1,29.1
C3,C34,44.0,44.0
C3,C35,9.4,9.4
C3,C36,63.6,63.6
C3,C37,48.8,48.8
C3,C38,103.1,103.1
C3,C39,65.1,65.1
C3,C40,58.3,58.3
C3,C41,22.0,22.0
C3,C42,55.4,55.4
C3,C43,63.1,63.1
C3,C44,63.1,63.1
C3,C45,48.2,48.2
C3,C46,94.4,94.4
C3,C47,64.5,64.5
C3,C48,74.8,74.8
C3,C49,17.0,17.0
C3,C50,18.9,18.9
C4,C1,99.0,99.0
C4,C2,59.0,59.0
C4,C3,81.2,81.2
C4,C4,0.0,0.0
C4,C5,89.4,89.4
C4,C6,28.8,28.8
C4,C7,89.0,89.0
C4,C8,85.4,85.4
C4,C9,39.6,39.6
C4,C10,11.4,11.4
C4,C11,111.3,111.3
C4,C12,76.2,76.2
C4,C13,99.0,99.0
C4,C14,94.8,94.8
C4,C15,66.0,66.0
C4,C16,100.7,100.7
C4,C17,38.9,38.9
C4,C18,68.4,68.4
C4,C19,43.0,43.0
C4,C20,0.0,0.0
C4,C21,99.1,99.1
C4,C22,17.8,17.8
C4,C23,47.9,47.9
C4,C24,30.0,30.0
C4,C25,68.5,68.5
C4,C26,99.5,99.5
C4,C27,66.0,66.0
C4,C28,54.1,54.1
C4,C29,26.6,26.6
C4,C30,15.3,15.3
C4,C31,87.3,87.3
C4,C32,95.9,95.9
C4,C33,76.5,76.5
C4,C34,39.8,39.8
C4,C35,86.1,86.1
C4,C36,21.0,21.0
C4,C37,63.5,63.5
C4,C38,60.0,60.0
C4,C39,17.9,17.9
C4,C40,68.0,68.0
C4,C41,93.1,93.1
C4,C42,28.6,28.6
C4,C43,18.0,18.0
C4,C44,48.8,48.8
C4,C45,88.2,88.2
C4,C46,87.7,87.7
C4,C47,70.7,70.7
C4,C48,46.5,46.5
C4,C49,96.9,96.9
C4,C50,65.2,65.2
C5,C1,54.1,54.1
C5,C2,103.4,103.4
C5,C3,15.3,15.3
C5,C4,89.4,89.4
C5,C5,0.0,0.0
C5,C6,65.5,65.5
C5,C7,21.0,21.0
C5,C8,23.8,23.8
C5,C9,80.4,80.4
C5,C10,78.2,78.2
C5,C11,50.4,50.4
C5,C12,108.1,108.1
C5,C13,46.4,46.4
C5,C14,15.3,15.3
C5,C15,107.1,107.1
C5,C16,20.6,20.6
C5,C17,54.7,54.7
C5,C18,91.7,91.7
C5,C19,97.5,97.5
C5,C20,89.4,89.4
C5,C21,61.1,61.1
C5,C22,78.2,78.2
C5,C23,89.0,89.0
C5,C24,59.4,59.4
C5,C25,76.4,76.4
C5,C26,56.3,56.3
C5,C27,105.4,105.4
C5,C28,49.2,49.2
C5,C29,70.8,70.8
C5,C30,92.3,92.3
C5,C31,19.9,19.9
C5,C32,30.0,30.0
C5,C33,21.9,21.9
C5,C34,50.0,50.0
C5,C35,5.8,5.8
C5,C36,70.0,70.0
C5,C37,45.0,45.0
C5,C38,102.2,102.2
C5,C39,74.7,74.7
C5,C40,53.0,53.0
C5,C41,6.7,6.7
C5,C42,66.1,66.1
C5,C43,71.6,71.6
C5,C44,62.6,62.6
C5,C45,37.0,37.0
C5,C46,87.4,87.4
C5,C47,58.7,58.7
C5,C48,74.7,74.7
C5,C49,22.1,22.1
C5,C50,24.2,24.2
C6,C1,70.3,70.3
C6,C2,49.7,49.7
C6,C3,60.7,60.7
C6,C4,28.8,28.8
C6,C5,65.5,65.5
C6,C6,0.0,0.0
C6,C7,70.3,70.3
C6,C8,57.7,57.7
C6,C9,23.3,23.3
