id,cluster,client,skill,demand,consultant,priority
1,C16,V1,S39,5,,4
2,C5,V2,S35,6,,5
3,C30,V3,S23,1,,5
4,C43,V4,S39,3,,4
5,C46,V5,S6,5,,5
6,C4,V6,S12,3,,2
7,C34,V7,S41,5,,2
8,C30,V8,S12,1,,3
9,C44,V9,S6,5,,4
10,C17,V10,S12,5,,1
11,C36,V11,S10,3,,5
12,C35,V12,S40,3,,5
13,C48,V13,S33,6,,3
14,C16,V14,S26,2,,2
15,C41,V15,S43,5,,5
16,C40,V16,S50,4,,1
17,C13,V17,S41,3,,5
18,C17,V18,S5,4,,4
19,C41,V19,S25,4,,2
20,C29,V20,S42,4,,2
21,C38,V21,S10,6,,4
22,C50,V22,S6,1,,2
23,C14,V23,S30,6,,3
24,C34,V24,S16,6,,2
25,C39,V25,S46,2,,2
26,C49,V26,S26,3,,4
27,C25,V27,S42,4,,1
28,C9,V28,S42,2,,2
29,C29,V29,S41,5,,4
30,C26,V30,S8,4,,5
31,C10,V31,S48,6,,4
32,C45,V32,S2,5,,5
33,C36,V33,S41,5,,2
34,C26,V34,S49,1,,4
35,C41,V35,S5,3,,4
36,C1,V36,S8,4,,4
37,C31,V37,S12,5,,1
38,C49,V38,S49,6,,2
39,C4,V39,S4,4,,1
40,C23,V40,S46,4,,4
41,C32,V41,S46,2,,5
42,C46,V42,S37,4,,3
43,C29,V43,S16,6,,3
44,C22,V44,S17,6,,1
45,C31,V45,S4,1,,1
46,C11,V46,S50,1,,1
47,C29,V47,S5,1,,1
48,C19,V48,S5,5,,1
49,C47,V49,S19,1,,4
50,C48,V50,S40,3,,2
51,C9,V51,S26,4,,5
52,C23,V52,S28,4,,4
53,C28,V53,S35,3,,1
54,C31,V54,S10,2,,5
55,C16,V55,S26,3,,4
56,C26,V56,S35,3,,5
57,C42,V57,S27,1,,2
58,C42,V58,S37,4,,2
59,C45,V59,S4,4,,2
60,C45,V60,S46,6,,3
61,C31,V61,S27,1,,2
62,C48,V62,S4,5,,4
63,C48,V63,S3,6,,1
64,C27,V64,S47,5,,1
65,C33,V65,S20,6,,3
66,C5,V66,S22,6,,5
67,C37,V67,S20,3,,3
68,C11,V68,S17,5,,1
69,C23,V69,S7,2,,4
70,C44,V70,S18,1,,2
71,C44,V71,S33,4,,5
72,C26,V72,S5,5,,4
73,C39,V73,S39,4,,2
74,C43,V74,S32,1,,5
75,C38,V75,S18,4,,2
76,C2,V76,S39,6,,5
77,C37,V77,S39,2,,1
78,C37,V78,S12,2,,5
79,C14,V79,S6,2,,3
80,C42,V80,S31,6,,5
81,C42,V81,S43,1,,4
82,C27,V82,S25,2,,5
83,C12,V83,S48,5,,3
84,C14,V84,S32,6,,2
85,C24,V85,S12,2,,3
86,C1,V86,S19,4,,2
87,C26,V87,S24,2,,5
88,C27,V88,S27,5,,3
89,C5,V89,S45,6,,4
90,C10,V90,S24,4,,5
91,C11,V91,S5,3,,1
92,C3,V92,S31,2,,5
93,C35,V93,S6,3,,1
94,C48,V94,S19,5,,3
95,C11,V95,S14,6,,1
96,C44,V96,S1,5,,2
97,C17,V97,S10,6,,4
98,C39,V98,S25,2,,5
99,C8,V99,S13,6,,4
100,C40,V100,S47,3,,1
101,C6,V101,S16,5,,2
102,C37,V102,S16,4,,1
103,C29,V103,S42,5,,4
104,C5,V104,S29,1,,2
105,C4,V105,S44,3,,3
106,C18,V106,S17,5,,4
107,C9,V107,S30,1,,4
108,C8,V108,S21,3,,2
109,C12,V109,S24,4,,4
110,C34,V110,S3,6,,5
111,C43,V111,S33,3,,5
112,C3,V112,S8,2,,1
113,C35,V113,S27,5,,1
114,C22,V114,S23,4,,2
115,C6,V115,S11,2,,4
116,C38,V116,S19,4,,4
117,C32,V117,S22,5,,4
118,C40,V118,S29,4,,4
119,C42,V119,S19,3,,3
120,C29,V120,S30,4,,5
121,C18,V121,S18,4,,2
122,C33,V122,S42,5,,2
123,C50,V123,S5,1,,2
124,C9,V124,S24,4,,3
125,C24,V125,S47,3,,1
126,C31,V126,S16,3,,5
127,C49,V127,S34,2,,2
128,C8,V128,S21,6,,4
129,C6,V129,S10,3,,3
130,C7,V130,S16,1,,5
131,C47,V131,S21,5,,3
132,C49,V132,S16,2,,1
133,C18,V133,S23,3,,4
134,C42,V134,S4,3,,5
135,C1,V135,S38,1,,1
136,C25,V136,S12,1,,3
137,C27,V137,S42,6,,1
138,C10,V138,S12,2,,1
139,C49,V139,S13,1,,2
140,C30,V140,S28,2,,4
141,C8,V141,S11,5,,3
142,C43,V142,S42,6,,2
143,C9,V143,S35,2,,4
144,C17,V144,S44,6,,4
145,C22,V145,S8,5,,1
146,C24,V146,S28,5,,5
147,C44,V147,S26,2,,2
148,C19,V148,S19,1,,5
149,C18,V149,S46,2,,1
150,C33,V150,S24,2,,4
151,C30,V151,S48,3,,3
152,C50,V152,S20,1,,5
153,C43,V153,S30,4,,1
154,C23,V154,S11,6,,4
155,C8,V155,S27,2,,1
156,C18,V156,S17,6,,5
157,C46,V157,S11,4,,2
158,C29,V158,S11,6,,1
159,C21,V159,S43,3,,2
160,C15,V160,S5,4,,4
161,C8,V161,S32,2,,3
162,C22,V162,S35,1,,4
163,C24,V163,S38,6,,3
164,C2,V164,S5,4,,1
165,C20,V165,S9,5,,5
