airport_from,airport_to,cost,distance
C1,C1,0.0,0.0
C1,C2,64.4,64.4
C1,C3,77.0,77.0
C1,C4,60.6,60.6
C1,C5,61.0,61.0
C1,C6,29.1,29.1
C1,C7,36.2,36.2
C1,C8,47.4,47.4
C1,C9,115.9,115.9
C1,C10,19.4,19.4
C1,C11,78.1,78.1
C1,C12,77.1,77.1
C1,C13,48.8,48.8
C1,C14,80.0,80.0
C1,C15,76.7,76.7
C1,C16,57.9,57.9
C1,C17,29.1,29.1
C1,C18,49.0,49.0
C1,C19,54.5,54.5
C1,C20,99.0,99.0
C1,C21,42.0,42.0
C1,C22,53.0,53.0
C1,C23,92.2,92.2
C1,C24,44.3,44.3
C1,C25,76.5,76.5
C1,C26,33.0,33.0
C1,C27,59.5,59.5
C1,C28,82.8,82.8
C1,C29,6.4,6.4
C1,C30,36.3,36.3
C2,C1,64.4,64.4
C2,C2,0.0,0.0
C2,C3,70.0,70.0
C2,C4,6.3,6.3
C2,C5,35.7,35.7
C2,C6,62.4,62.4
C2,C7,31.8,31.8
C2,C8,40.3,40.3
C2,C9,58.2,58.2
C2,C10,67.7,67.7
C2,C11,48.6,48.6
C2,C12,18.1,18.1
C2,C13,26.7,26.7
C2,C14,24.2,24.2
C2,C15,43.8,43.8
C2,C16,17.0,17.0
C2,C17,44.7,44.7
C2,C18,38.6,38.6
C2,C19,16.5,16.5
C2,C20,38.5,38.5
C2,C21,72.1,72.1
C2,C22,35.0,35.0
C2,C23,29.7,29.7
C2,C24,35.4,35.4
C2,C25,14.0,14.0
C2,C26,73.4,73.4
C2,C27,32.4,32.4
C2,C28,19.2,19.2
C2,C29,62.6,62.6
C2,C30,59.0,59.0
C3,C1,77.0,77.0
C3,C2,70.0,70.0
C3,C3,0.0,0.0
C3,C4,64.0,64.0
C3,C5,99.5,99.5
C3,C6,49.4,49.4
C3,C7,55.0,55.0
C3,C8,36.2,36.2
C3,C9,76.1,76.1
C3,C10,61.7,61.7
C3,C11,27.2,27.2
C3,C12,62.8,62.8
C3,C13,84.4,84.4
C3,C14,93.7,93.7
C3,C15,31.6,31.6
C3,C16,82.0,82.0
C3,C17,84.9,84.9
C3,C18,36.4,36.4
C3,C19,55.2,55.2
C3,C20,72.3,72.3
C3,C21,42.2,42.2
C3,C22,94.6,94.6
C3,C23,74.0,74.0
C3,C24,42.5,42.5
C3,C25,81.6,81.6
C3,C26,52.8,52.8
C3,C27,37.6,37.6
C3,C28,73.2,73.2
C3,C29,81.3,81.3
C3,C30,41.1,41.1
C4,C1,60.6,60.6
C4,C2,6.3,6.3
C4,C3,64.0,64.0
C4,C4,0.0,0.0
C4,C5,39.2,39.2
C4,C6,56.7,56.7
C4,C7,26.6,26.6
C4,C8,34.0,34.0
C4,C9,58.6,58.6
C4,C10,62.6,62.6
C4,C11,43.6,43.6
C4,C12,17.9,17.9
C4,C13,28.0,28.0
C4,C14,30.5,30.5
C4,C15,38.9,38.9
C4,C16,20.2,20.2
C4,C17,43.4,43.4
C4,C18,32.3,32.3
C4,C19,10.2,10.2
C4,C20,39.7,39.7
C4,C21,66.0,66.0
C4,C22,37.3,37.3
C4,C23,31.8,31.8
C4,C24,29.2,29.2
C4,C25,20.1,20.1
C4,C26,67.7,67.7
C4,C27,26.4,26.4
C4,C28,22.2,22.2
C4,C29,59.4,59.4
C4,C30,53.0,53.0
C5,C1,61.0,61.0
C5,C2,35.7,35.7
C5,C3,99.5,99.5
C5,C4,39.2,39.2
C5,C5,0.0,0.0
C5,C6,74.5,74.5
C5,C7,47.2,47.2
C5,C8,64.4,64.4
C5,C9,90.8,90.8
C5,C10,73.8,73.8
C5,C11,82.3,82.3
C5,C12,53.2,53.2
C5,C13,15.8,15.8
C5,C14,29.2,29.2
C5,C15,77.9,77.9
C5,C16,19.0,19.0
C5,C17,32.1,32.1
C5,C18,63.7,63.7
C5,C19,45.3,45.3
C5,C20,70.6,70.6
C5,C21,87.7,87.7
C5,C22,8.0,8.0
C5,C23,60.7,60.7
C5,C24,58.0,58.0
C5,C25,35.7,35.7
C5,C26,84.4,84.4
C5,C27,63.0,63.0
C5,C28,50.2,50.2
C5,C29,56.1,56.1
C5,C30,75.2,75.2
C6,C1,29.1,29.1
C6,C2,62.4,62.4
C6,C3,49.4,49.4
C6,C4,56.7,56.7
C6,C5,74.5,74.5
C6,C6,0.0,0.0
C6,C7,31.0,31.0
C6,C8,28.6,28.6
C6,C9,102.0,102.0
C6,C10,12.4,12.4
C6,C11,56.6,56.6
C6,C12,68.7,68.7
C6,C13,59.1,59.1
C6,C14,84.1,84.1
C6,C15,56.7,56.7
C6,C16,63.8,63.8
C6,C17,47.6,47.6
C6,C18,30.8,30.8
C6,C19,47.3,47.3
C6,C20,88.6,88.6
C6,C21,14.1,14.1
C6,C22,67.1,67.1
C6,C23,84.3,84.3
C6,C24,29.5,29.5
C6,C25,76.3,76.3
C6,C26,11.0,11.0
C6,C27,43.0,43.0
C6,C28,77.2,77.2
C6,C29,34.5,34.5
C6,C30,8.5,8.5
C7,C1,36.2,36.2
C7,C2,31.8,31.8
C7,C3,55.0,55.0
C7,C4,26.6,26.6
C7,C5,47.2,47.2
C7,C6,31.0,31.0
C7,C7,0.0,0.0
C7,C8,18.8,18.8
C7,C9,79.6,79.6
C7,C10,36.1,36.1
C7,C11,46.0,46.0
C7,C12,41.4,41.4
C7,C13,31.4,31.4
C7,C14,53.1,53.1
C7,C15,43.4,43.4
C7,C16,33.5,33.5
C7,C17,30.6,30.6
C7,C18,19.0,19.0
C7,C19,18.6,18.6
C7,C20,63.0,63.0
C7,C21,42.2,42.2
C7,C22,41.0,41.0
C7,C23,56.9,56.9
C7,C24,12.6,12.6
C7,C25,45.5,45.5
C7,C26,42.0,42.0
C7,C27,25.3,25.3
C7,C28,48.3,48.3
C7,C29,36.7,36.7
C7,C30,29.1,29.1
C8,C1,47.4,47.4
C8,C2,40.3,40.3
C8,C3,36.2,36.2
C8,C4,34.0,34.0
C8,C5,64.4,64.4
C8,C6,28.6,28.6
C8,C7,18.8,18.8
C8,C8,0.0,0.0
C8,C9,73.4,73.4
C8,C10,38.9,38.9
C8,C11,30.7,30.7
C8,C12,41.8,41.8
C8,C13,48.8,48.8
C8,C14,64.2,64.2
C8,C15,29.5,29.5
C8,C16,48.3,48.3
C8,C17,49.0,49.0
C8,C18,2.2,2.2
C8,C19,23.8,23.8
C8,C20,60.4,60.4
C8,C21,33.7,33.7
C8,C22,58.9,58.9
C8,C23,57.0,57.0
C8,C24,6.4,6.4
C8,C25,53.9,53.9
C8,C26,38.5,38.5
C8,C27,14.4,14.4
C8,C28,51.2,51.2
C8,C29,50.0,50.0
C8,C30,21.9,21.9
C9,C1,115.9,115.9
C9,C2,58.2,58.2
C9,C3,76.1,76.1
C9,C4,58.6,58.6
C9,C5,90.8,90.8
C9,C6,102.0,102.0
C9,C7,79.6,79.6
C9,C8,73.4,73.4
C9,C9,0.0,0.0
C9,C10,111.9,111.9
C9,C11,50.6,50.6
C9,C12,40.7,40.7
C9,C13,84.8,84.8
C9,C14,65.1,65.1
C9,C15,47.9,47.9
C9,C16,74.2,74.2
C9,C17,102.0,102.0
C9,C18,71.2,71.2
C9,C19,61.9,61.9
C9,C20,20.2,20.2
C9,C21,104.8,104.8
C9,C22,92.2,92.2
C9,C23,30.1,30.1
C9,C24,73.6,73.6
C9,C25,55.2,55.2
C9,C26,111.5,111.5
C9,C27,59.0,59.0
C9,C28,40.6,40.6
C9,C29,116.0,116.0
C9,C30,94.9,94.9
C10,C1,19.4,19.4
C10,C2,67.7,67.7
C10,C3,61.7,61.7
C10,C4,62.6,62.6
C10,C5,73.8,73.8
C10,C6,12.4,12.4
C10,C7,36.1,36.1
C10,C8,38.9,38.9
C10,C9,111.9,111.9
C10,C10,0.0,0.0
C10,C11,68.3,68.3
C10,C12,76.5,76.5
C10,C13,59.4,59.4
C10,C14,87.5,87.5
C10,C15,68.0,68.0
C10,C16,66.0,66.0
C10,C17,43.9,43.9
C10,C18,41.0,41.0
C10,C19,54.1,54.1
C10,C20,97.3,97.3
C10,C21,23.1,23.1
C10,C22,66.0,66.0
C10,C23,92.2,92.2
C10,C24,38.4,38.4
C10,C25,81.3,81.3
C10,C26,13.6,13.6
C10,C27,53.0,53.0
C10,C28,84.2,84.2
C10,C29,25.6,25.6
C10,C30,20.9,20.9
C11,C1,78.1,78.1
C11,C2,48.6,48.6
C11,C3,27.2,27.2
C11,C4,43.6,43.6
C11,C5,82.3,82.3
C11,C6,56.6,56.6
C11,C7,46.0,46.0
C11,C8,30.7,30.7
C11,C9,50.6,50.6
C11,C10,68.3,68.3
C11,C11,0.0,0.0
C11,C12,37.4,37.4
C11,C13,68.9,68.9
C11,C14,70.7,70.7
C11,C15,5.0,5.0
C11,C16,63.5,63.5
C11,C17,76.1,76.1
C11,C18,29.1,29.1
C11,C19,37.3,37.3
C11,C20,45.2,45.2
C11,C21,56.1,56.1
C11,C22,79.1,79.1
C11,C23,47.1,47.1
C11,C24,34.5,34.5
C11,C25,58.1,58.1
C11,C26,64.4,64.4
