name,available,cluster,wage,skill,lb,ub
K1,10,C2,1095,"S22,S6,S20,S27,S11,S21,S18,S3,S2,S19,S14,S8,S23,S25,S30,S5,S9,S24,S29,S12,S10,S26,S17,S7",3,5
K2,10,C17,925,"S4,S1,S23,S14,S29,S11,S9,S26,S30,S17,S10,S13,S21,S15,S7,S27,S18,S25,S2,S3,S22,S16,S19,S6",1,4
K3,10,C5,1086,"S4,S6,S7,S27,S19,S28,S1,S14,S17,S12,S29,S20,S16,S3,S24,S25,S5,S11,S8,S26,S10,S2,S30,S13",1,5
K4,10,C6,914,"S26,S10,S9,S17,S5,S13,S11,S30,S21,S28,S25,S15,S19,S7,S3,S18,S6,S1,S22,S12,S14,S16,S27,S8",2,3
K5,10,C5,0,"S20,S27,S21,S16,S28,S1,S2,S19,S15,S26,S12,S11,S29,S24,S10,S6,S8,S5,S9,S3,S14,S13,S23,S18",1,4
K6,10,C12,0,"S20,S21,S29,S26,S6,S10,S11,S25,S23,S8,S1,S4,S19,S15,S7,S27,S16,S28,S18,S5,S17,S9,S3,S13",1,5
K7,10,C21,1023,"S5,S6,S11,S27,S16,S9,S15,S3,S26,S10,S18,S4,S12,S8,S17,S14,S7,S28,S13,S21,S30,S29,S2,S24",1,3
K8,10,C10,0,"S10,S29,S15,S3,S24,S23,S6,S7,S18,S1,S4,S27,S22,S5,S12,S17,S21,S16,S2,S11,S19,S9,S26,S8",2,4
K9,10,C22,0,"S14,S16,S12,S7,S18,S10,S23,S28,S2,S30,S9,S29,S24,S4,S25,S22,S8,S27,S26,S5,S1,S21,S20,S19",2,4
K10,10,C12,0,"S27,S28,S3,S7,S12,S25,S13,S19,S18,S11,S5,S10,S6,S9,S20,S17,S16,S14,S1,S23,S24,S2,S26,S8",4,5
K11,10,C1,1084,"S13,S30,S16,S5,S23,S27,S9,S26,S4,S20,S24,S29,S21,S19,S15,S8,S17,S6,S7,S22,S14,S1,S18,S25",1,3
K12,10,C27,0,"S1,S29,S24,S12,S4,S3,S20,S30,S26,S21,S16,S11,S5,S10,S15,S23,S13,S25,S18,S6,S17,S14,S22,S8",1,4
K13,10,C25,0,"S19,S8,S25,S4,S20,S27,S13,S11,S22,S23,S29,S14,S10,S5,S16,S2,S7,S26,S17,S18,S30,S6,S3,S21",1,4
K14,10,C6,1055,"S8,S13,S2,S7,S9,S28,S20,S19,S17,S18,S1,S14,S30,S27,S4,S15,S10,S16,S12,S21,S26,S3,S11,S5",1,2
K15,10,C2,908,"S22,S1,S26,S25,S5,S24,S16,S2,S9,S6,S15,S13,S19,S10,S20,S30,S7,S28,S8,S17,S23,S3,S11,S4",1,5
K16,10,C30,0,"S16,S17,S23,S14,S8,S24,S4,S6,S15,S26,S3,S30,S27,S25,S29,S28,S20,S2,S7,S22,S9,S19,S18,S1",2,3
K17,10,C1,0,"S10,S11,S26,S16,S21,S14,S8,S13,S24,S22,S23,S25,S2,S3,S7,S27,S5,S15,S9,S18,S20,S1,S6,S29",1,5
K18,10,C7,0,"S11,S10,S19,S12,S30,S26,S5,S22,S3,S20,S21,S17,S16,S7,S9,S6,S25,S18,S28,S29,S4,S8,S2,S15",1,3
K19,10,C8,1030,"S1,S28,S20,S19,S22,S8,S5,S7,S18,S17,S6,S21,S23,S15,S11,S2,S25,S24,S14,S30,S10,S29,S3,S4",3,4
K20,10,C25,0,"S3,S8,S9,S26,S17,S5,S22,S23,S18,S7,S4,S2,S1,S10,S21,S15,S30,S16,S14,S29,S13,S27,S11,S19",1,5
K21,10,C24,1033,"S24,S6,S7,S23,S18,S14,S15,S30,S28,S2,S1,S17,S5,S27,S26,S25,S21,S11,S29,S4,S12,S16,S8,S13",3,4
K22,10,C1,0,"S5,S21,S4,S23,S10,S22,S8,S26,S13,S2,S15,S3,S27,S16,S1,S19,S14,S20,S24,S9,S18,S29,S25,S30",3,5
K23,10,C15,0,"S15,S14,S10,S9,S11,S22,S26,S5,S4,S7,S18,S25,S17,S29,S3,S13,S23,S12,S30,S21,S27,S8,S28,S6",1,4
K24,10,C8,1020,"S13,S14,S19,S26,S7,S20,S29,S10,S21,S9,S30,S23,S8,S25,S16,S27,S4,S6,S1,S15,S3,S11,S12,S24",1,3
