id,cluster,client,skill,demand,consultant,priority
1,C23,V1,S19,1,,4
2,C24,V2,S24,1,,5
3,C23,V3,S2,4,,3
4,C7,V4,S17,4,,1
5,C9,V5,S18,2,,4
6,C11,V6,S16,1,,5
7,C3,V7,S9,5,,3
8,C30,V8,S19,2,,3
9,C17,V9,S22,1,,2
10,C10,V10,S8,1,,3
11,C19,V11,S16,1,,5
12,C25,V12,S3,4,,4
13,C30,V13,S1,5,,5
14,C30,V14,S22,3,,1
15,C9,V15,S26,5,,4
16,C2,V16,S7,4,,2
17,C8,V17,S28,4,,2
18,C1,V18,S12,4,,3
19,C12,V19,S16,1,,1
20,C27,V20,S29,6,,3
21,C1,V21,S3,1,,4
22,C1,V22,S4,1,,2
23,C17,V23,S8,3,,5
24,C28,V24,S20,6,,4
25,C7,V25,S3,3,,3
26,C8,V26,S13,1,,1
27,C27,V27,S2,4,,2
28,C11,V28,S24,2,,5
29,C5,V29,S16,4,,4
30,C9,V30,S30,1,,4
31,C15,V31,S6,4,,5
32,C10,V32,S20,3,,5
33,C19,V33,S11,4,,3
34,C17,V34,S6,1,,3
35,C17,V35,S5,2,,5
36,C6,V36,S25,3,,2
37,C5,V37,S1,6,,2
38,C28,V38,S6,2,,1
39,C27,V39,S23,2,,5
40,C30,V40,S25,1,,3
41,C30,V41,S26,2,,3
42,C6,V42,S27,4,,5
43,C15,V43,S19,1,,1
44,C2,V44,S27,4,,1
45,C3,V45,S23,1,,5
46,C17,V46,S4,4,,3
47,C6,V47,S3,6,,1
48,C4,V48,S11,1,,5
49,C19,V49,S9,1,,3
50,C17,V50,S22,3,,4
51,C27,V51,S24,5,,4
52,C2,V52,S12,1,,5
53,C23,V53,S3,1,,1
54,C16,V54,S2,6,,1
55,C19,V55,S25,6,,2
56,C5,V56,S6,6,,4
57,C12,V57,S4,2,,4
58,C18,V58,S24,2,,4
59,C7,V59,S28,6,,3
60,C16,V60,S17,4,,4
61,C5,V61,S26,4,,5
62,C1,V62,S26,1,,1
63,C21,V63,S12,5,,4
64,C10,V64,S9,5,,1
65,C2,V65,S8,1,,3
66,C16,V66,S27,3,,2
67,C14,V67,S16,6,,3
68,C7,V68,S10,4,,5
69,C23,V69,S3,1,,4
70,C13,V70,S11,4,,4
71,C13,V71,S2,6,,3
72,C11,V72,S20,2,,4
73,C4,V73,S17,1,,2
74,C7,V74,S13,3,,3
75,C20,V75,S18,6,,1
76,C19,V76,S22,1,,1
77,C26,V77,S15,5,,3
78,C22,V78,S15,1,,5
79,C14,V79,S20,1,,1
80,C28,V80,S14,2,,4
81,C23,V81,S6,3,,4
82,C17,V82,S7,4,,5
83,C8,V83,S8,1,,1
84,C6,V84,S10,5,,1
85,C19,V85,S23,2,,5
86,C4,V86,S4,1,,5
87,C13,V87,S4,1,,2
88,C14,V88,S9,5,,5
89,C27,V89,S14,6,,2
90,C5,V90,S10,1,,4
91,C28,V91,S4,2,,5
92,C13,V92,S16,5,,2
93,C30,V93,S30,4,,2
94,C25,V94,S15,1,,5
95,C13,V95,S8,3,,2
96,C12,V96,S26,5,,1
97,C26,V97,S12,5,,4
98,C26,V98,S10,5,,4
99,C28,V99,S14,6,,5
100,C24,V100,S3,6,,1
101,C22,V101,S23,3,,1
102,C26,V102,S26,4,,5
103,C26,V103,S12,6,,1
104,C16,V104,S6,1,,5
105,C5,V105,S20,5,,4
106,C11,V106,S23,1,,5
107,C11,V107,S2,3,,5
108,C19,V108,S20,2,,2
109,C8,V109,S12,4,,5
110,C7,V110,S15,2,,5
111,C22,V111,S19,6,,1
112,C12,V112,S19,5,,4
113,C29,V113,S9,5,,1
114,C11,V114,S26,4,,1
115,C15,V115,S10,2,,4
116,C8,V116,S28,5,,5
117,C24,V117,S15,1,,3
118,C8,V118,S6,3,,5
119,C1,V119,S6,6,,5
120,C9,V120,S15,5,,4
121,C6,V121,S27,1,,2
122,C26,V122,S26,4,,4
123,C15,V123,S2,6,,5
124,C26,V124,S13,3,,5
125,C15,V125,S17,1,,4
126,C29,V126,S18,6,,2
127,C1,V127,S9,1,,2
128,C20,V128,S1,2,,1
129,C30,V129,S6,5,,4
130,C23,V130,S15,6,,3
131,C27,V131,S1,6,,1
132,C20,V132,S30,1,,2
133,C18,V133,S12,1,,5
134,C25,V134,S29,1,,5
135,C18,V135,S24,4,,4
136,C4,V136,S13,5,,5
137,C16,V137,S21,6,,1
138,C24,V138,S27,6,,4
139,C4,V139,S10,4,K33,3
140,C9,V140,S30,2,K51,1
141,C25,V141,S7,6,K54,5
142,C12,V142,S11,3,K24,2
143,C26,V143,S4,6,K21,3
144,C11,V144,S26,5,K17,5
145,C10,V145,S30,6,K51,1
146,C22,V146,S8,3,K1,4
147,C2,V147,S4,3,K7,3
148,C20,V148,S20,1,K32,3
149,C8,V149,S7,6,K30,4
150,C2,V150,S11,5,K14,2
