id,cluster,client,skill,demand,consultant,priority
1,C5,V1,S5,3,,3
2,C1,V2,S3,4,,3
3,C9,V3,S2,2,,5
4,C5,V4,S6,5,,4
5,C9,V5,S1,2,,2
6,C9,V6,S8,4,,2
7,C5,V7,S7,4,,1
8,C10,V8,S2,3,,3
9,C10,V9,S4,1,,3
10,C7,V10,S1,4,,2
11,C5,V11,S1,1,,4
12,C5,V12,S7,1,,5
13,C3,V13,S1,5,,4
14,C9,V14,S3,3,,4
15,C3,V15,S8,5,,5
16,C9,V16,S1,4,,2
17,C2,V17,S2,5,,1
18,C7,V18,S6,6,,5
19,C7,V19,S10,1,,2
20,C7,V20,S9,2,,4
21,C10,V21,S1,4,,2
22,C7,V22,S7,6,,5
23,C2,V23,S9,2,,5
24,C5,V24,S7,3,,2
25,C9,V25,S7,1,,3
26,C3,V26,S3,2,,5
27,C3,V27,S1,1,,3
28,C4,V28,S6,4,,3
29,C6,V29,S5,6,,5
30,C4,V30,S6,5,,1
31,C3,V31,S3,4,,1
32,C4,V32,S9,6,,5
33,C3,V33,S2,1,,3
34,C9,V34,S9,6,,3
35,C3,V35,S2,1,,1
36,C1,V36,S3,1,,3
37,C6,V37,S10,6,,3
38,C2,V38,S9,5,,4
39,C6,V39,S3,6,,2
40,C10,V40,S6,1,K3,2
41,C6,V41,S1,4,K17,2
42,C5,V42,S3,6,K2,2
43,C3,V43,S3,4,K1,5
