airport_from,airport_to,cost,distance
C1,C1,0.0,0.0
C1,C2,51.7,51.7
C1,C3,53.2,53.2
C1,C4,37.6,37.6
C1,C5,55.9,55.9
C1,C6,11.7,11.7
C1,C7,47.1,47.1
C1,C8,72.0,72.0
C1,C9,36.1,36.1
C1,C10,3.2,3.2
C2,C1,51.7,51.7
C2,C2,0.0,0.0
C2,C3,60.7,60.7
C2,C4,22.0,22.0
C2,C5,19.8,19.8
C2,C6,48.4,48.4
C2,C7,49.2,49.2
C2,C8,22.8,22.8
C2,C9,67.4,67.4
C2,C10,54.5,54.5
C3,C1,53.2,53.2
C3,C2,60.7,60.7
C3,C3,0.0,0.0
C3,C4,66.6,66.6
C3,C5,78.2,78.2
C3,C6,62.4,62.4
C3,C7,91.0,91.0
C3,C8,82.1,82.1
C3,C9,27.5,27.5
C3,C10,52.8,52.8
C4,C1,37.6,37.6
C4,C2,22.0,22.0
C4,C3,66.6,66.6
C4,C4,0.0,0.0
C4,C5,18.4,18.4
C4,C6,30.5,30.5
C4,C7,28.6,28.6
C4,C8,36.2,36.2
C4,C9,64.1,64.1
C4,C10,40.7,40.7
C5,C1,55.9,55.9
C5,C2,19.8,19.8
C5,C3,78.2,78.2
C5,C4,18.4,18.4
C5,C5,0.0,0.0
C5,C6,48.6,48.6
C5,C7,35.2,35.2
C5,C8,20.2,20.2
C5,C9,80.2,80.2
C5,C10,59.0,59.0
C6,C1,11.7,11.7
C6,C2,48.4,48.4
C6,C3,62.4,62.4
C6,C4,30.5,30.5
C6,C5,48.6,48.6
C6,C6,0.0,0.0
C6,C7,35.5,35.5
C6,C8,66.5,66.5
C6,C9,47.5,47.5
C6,C10,14.3,14.3
C7,C1,47.1,47.1
C7,C2,49.2,49.2
C7,C3,91.0,91.0
C7,C4,28.6,28.6
C7,C5,35.2,35.2
C7,C6,35.5,35.5
C7,C7,0.0,0.0
C7,C8,55.1,55.1
C7,C9,81.7,81.7
C7,C10,49.8,49.8
C8,C1,72.0,72.0
C8,C2,22.8,22.8
C8,C3,82.1,82.1
C8,C4,36.2,36.2
C8,C5,20.2,20.2
C8,C6,66.5,66.5
C8,C7,55.1,55.1
C8,C8,0.0,0.0
C8,C9,90.2,90.2
C8,C10,75.0,75.0
C9,C1,36.1,36.1
C9,C2,67.4,67.4
C9,C3,27.5,27.5
C9,C4,64.1,64.1
C9,C5,80.2,80.2
C9,C6,47.5,47.5
C9,C7,81.7,81.7
C9,C8,90.2,90.2
C9,C9,0.0,0.0
C9,C10,34.2,34.2
C10,C1,3.2,3.2
C10,C2,54.5,54.5
C10,C3,52.8,52.8
C10,C4,40.7,40.7
C10,C5,59.0,59.0
C10,C6,14.3,14.3
C10,C7,49.8,49.8
C10,C8,75.0,75.0
C10,C9,34.2,34.2
C10,C10,0.0,0.0
