ins	real	lb	gap	time	timestamp
s1_1	4253.0	4253.0	0.0	63.12	202007161300
s1_2	4269.8	4269.8	0.0	50.46	202007161301
s1_3	4278.5	4278.5	0.0	14.9	202007161301
s1_4	4411.0	4411.0	0.0	30.65	202007161301
s1_5	4321.6	4321.6	0.0	46.49	202007161302
s1_6	4382.4	4382.4	0.0	49.13	202007161303
s1_7	4482.3	4482.3	0.0	30.07	202007161304
s1_8	4562.6	4562.6	0.0	80.01	202007161305
s1_9	4574.5	4574.5	0.0	6.16	202007161305
s1_10	4554.5	4554.5	0.0	464.04	202007161313
s2_1	3685.4	3685.4	0.0	31.81	202007161313
s2_2	4172.1	4172.1	0.0	51.69	202007161314
s2_3	4511.2	4511.2	0.0	28.63	202007161315
s2_4	3899.8	3899.8	0.0	48.32	202007161316
s2_5	4083.7	4083.7	0.0	142.04	202007161318
s2_6	3951.8	3951.8	0.0	52.96	202007161319
s2_7	3938.9	3938.9	0.0	31.09	202007161319
s2_8	4219.0	4219.0	0.0	62.93	202007161320
s2_9	4530.8	4530.8	0.0	23.73	202007161321
s2_10	4257.6	4257.6	0.0	509.44	202007161329
s3_1	8478.6	8478.6	0.0	19.72	202007161330
s3_2	8095.8	8095.8	0.0	27.64	202007161330
s3_3	8459.5	8459.5	0.0	27.15	202007161331
s3_4	8300.7	8300.7	0.0	58.87	202007161332
s3_5	8053.0	8053.0	0.0	29.98	202007161332
s3_6	7995.1	7995.1	0.0	248.11	202007161336
s3_7	7872.6	7872.6	0.0	86.98	202007161338
s3_8	7950.8	7950.8	0.0	13.2	202007161338
s3_9	8116.4	8116.4	0.0	39.21	202007161339
s3_10	8881.7	8881.7	0.0	94.52	202007161340
s4_1	7319.6	7319.6	0.0	16.68	202007161341
s4_2	7684.7	7684.7	0.0	39.41	202007161341
s4_3	7569.3	7569.3	0.0	40.97	202007161342
s4_4	7543.0	7543.0	0.0	57.99	202007161343
s4_5	7432.8	7432.8	0.0	75.21	202007161344
s4_6	7668.9	7668.9	0.0	136.23	202007161346
s4_7	7400.0	7400.0	0.0	38.35	202007161347
s4_8	7692.7	7692.7	0.0	479.12	202007161355
s4_9	7824.7	7824.7	0.0	44.47	202007161356
s4_10	7710.9	7710.9	0.0	43.66	202007161357
m1_1	9166.8	8938.8	0.02	3600.13	202007161457
m1_2	8971.1	8675.6	0.03	3600.16	202007161557
m1_3	8824.9	8537.1	0.03	3600.15	202007161657
m1_4	8884.0	8530.9	0.04	3600.16	202007161757
m1_5	8816.3	8475.0	0.04	3600.09	202007161858
m2_1	7843.8	7654.7	0.02	3600.18	202007161958
m2_2	7869.8	7693.9	0.02	3600.14	202007162058
m2_3	7566.9	7223.9	0.05	3600.14	202007162158
m2_4	8232.4	8213.0	0.0	3600.1	202007162259
m2_5	7710.6	7440.3	0.04	3600.18	202007162359
m3_1	16343.4	16174.5	0.01	3600.16	202007170059
m3_2	16388.8	16207.3	0.01	3600.11	202007170159
m3_3	16443.7	16146.8	0.02	3600.13	202007170259
m3_4	16668.2	16459.0	0.01	3600.14	202007170400
m3_5	16628.4	16317.2	0.02	3600.13	202007170500
m4_1	16296.3	15814.7	0.03	3600.14	202007170600
m4_2	16914.4	16372.2	0.03	3600.12	202007170700
m4_3	16399.8	16230.6	0.01	3600.14	202007170801
m4_4	16237.4	15928.3	0.02	3600.14	202007170901
m4_5	16445.7	15837.1	0.04	3600.12	202007171001
m5_1	17051.7	16686.3	0.02	3600.18	202007171101
m5_2	17804.2	16397.4	0.08	3600.46	202007171202
m5_3	17780.7	16506.6	0.07	3600.22	202007171302
m5_4	17507.0	17020.4	0.03	3600.17	202007171402
m5_5	17666.5	15943.5	0.1	3602.42	202007171503
m6_1	17161.1	16567.3	0.03	3600.26	202007171603
m6_2	17335.5	16771.2	0.03	3600.19	202007171703
m6_3	17275.6	15909.0	0.08	3600.2	202007171804
m6_4	17522.6	15939.1	0.09	3600.42	202007171904
m6_5	17814.4	16191.9	0.09	3600.19	202007172004
m7_1	29777.7	28405.2	0.05	3600.23	202007172105
m7_2	29920.0	28101.1	0.06	3600.14	202007172205
m7_3	29496.4	28120.4	0.05	3600.24	202007172305
m7_4	29462.9	28202.8	0.04	3600.29	202007180006
m7_5	29244.4	28468.2	0.03	3601.94	202007180106
m8_1	29019.7	27766.9	0.04	3600.22	202007180206
m8_2	29324.1	27956.6	0.05	3600.18	202007180307
m8_3	28699.3	28047.3	0.02	3600.17	202007180407
m8_4	28624.4	27976.8	0.02	3600.22	202007180507
m8_5	28249.6	27706.9	0.02	3600.42	202007180608
l1_1	36833.1	22998.8	0.38	3600.41	202007180709
l1_2	34696.5	19009.6	0.45	3600.55	202007180811
l1_3	27254.1	19395.5	0.29	3600.52	202007180912
l1_4	37268.7	22166.3	0.41	3600.56	202007181014
l1_5	34266.8	22221.1	0.35	3600.4	202007181115
l2_1	30857.6	19366.3	0.37	3600.53	202007181217
l2_2	30051.4	15731.1	0.48	3601.61	202007181318
l2_3	35743.9	22437.5	0.37	3600.44	202007181420
l2_4	25708.8	21013.6	0.18	3600.58	202007181521
l2_5	27261.6	20262.1	0.26	3600.54	202007181623
l3_1	53955.8	31184.0	0.42	3600.44	202007181724
l3_2	35743.9	22437.5	0.37	3600.47	202007181826
l3_3	30592.4	17650.1	0.42	3600.5	202007181927
l3_4	25708.8	21013.6	0.18	3600.56	202007182029
l3_5	25804.0	20562.9	0.2	3600.4	202007182130
l4_1	54058.3	31839.7	0.41	3600.43	202007182232
l4_2	45959.0	42694.2	0.07	3600.61	202007182333
l4_3	49185.3	41871.0	0.15	3600.59	202007190035
l4_4	53031.1	30634.7	0.42	3600.4	202007190136
l4_5	50277.7	42410.9	0.16	3600.61	202007190238
week1	43607.9	41127.3	0.06	3600.13	202007191114
week2	49930.8	46406.8	0.07	3600.19	202007191214
week3	43810.4	39205.7	0.11	3600.16	202007191314
