ins	initial	best	time	timestamp
s1_1	4265.0	4263.3	3.88	202007231156
s1_2	4357.9	4357.9	4.01	202007231156
s1_3	4340.1	4278.5	4.99	202007231156
s1_4	4467.0	4431.2	4.38	202007231156
s1_5	4321.6	4321.6	4.98	202007231156
s1_6	4429.4	4389.9	4.36	202007231156
s1_7	4490.6	4482.3	3.99	202007231156
s1_8	4593.5	4562.6	3.19	202007231156
s1_9	4583.3	4583.3	2.57	202007231156
s1_10	4591.7	4554.5	4.98	202007231157
s2_1	3772.4	3709.1	6.19	202007231157
s2_2	4210.3	4178.8	8.65	202007231157
s2_3	4779.0	4606.6	8.01	202007231157
s2_4	3967.0	3899.8	6.39	202007231157
s2_5	4238.8	4220.3	6.62	202007231157
s2_6	4019.4	3968.9	9.62	202007231157
s2_7	3967.9	3946.0	6.24	202007231157
s2_8	4241.1	4230.8	9.83	202007231158
s2_9	4543.8	4530.8	3.92	202007231158
s2_10	4333.1	4290.7	7.26	202007231158
s3_1	8608.4	8478.6	2.25	202007231158
s3_2	8189.5	8157.8	3.09	202007231158
s3_3	8652.9	8488.6	8.25	202007231158
s3_4	8369.3	8308.3	4.12	202007231158
s3_5	8102.4	8053.0	3.22	202007231158
s3_6	8067.7	7995.4	4.77	202007231158
s3_7	7992.3	7983.4	3.61	202007231158
s3_8	7960.8	7950.8	3.42	202007231158
s3_9	8162.2	8117.9	5.79	202007231158
s3_10	8948.2	8922.3	2.49	202007231158
s4_1	7359.7	7319.6	4.54	202007231159
s4_2	7817.9	7767.6	6.29	202007231159
s4_3	7781.6	7668.9	8.35	202007231159
s4_4	7623.7	7623.7	7.32	202007231159
s4_5	7470.1	7469.0	6.22	202007231159
s4_6	7668.9	7668.9	6.09	202007231159
s4_7	7400.0	7400.0	8.49	202007231159
s4_8	7711.0	7711.0	5.86	202007231159
s4_9	7861.8	7827.1	6.67	202007231159
s4_10	7768.1	7744.5	6.69	202007231200
m1_1	9471.5	9426.5	53.03	202007231200
m1_2	9258.3	9146.6	45.02	202007231201
m1_3	9034.0	8930.1	62.9	202007231202
m1_4	9259.0	9146.8	58.73	202007231203
m1_5	9286.9	9201.5	66.95	202007231204
m2_1	8019.5	8019.5	77.98	202007231206
m2_2	8251.9	8145.8	78.51	202007231207
m2_3	7693.3	7638.1	73.97	202007231208
m2_4	8520.7	8467.8	117.18	202007231210
m2_5	7867.6	7772.4	77.89	202007231211
m3_1	16738.9	16671.8	48.64	202007231212
m3_2	16888.6	16694.9	89.35	202007231214
m3_3	16831.0	16758.5	70.46	202007231215
m3_4	17009.4	16988.1	37.39	202007231216
m3_5	16894.8	16813.4	82.92	202007231217
m4_1	16465.4	16385.8	92.78	202007231218
m4_2	17064.8	17032.1	90.73	202007231220
m4_3	16549.2	16541.0	104.41	202007231222
m4_4	16404.0	16388.4	74.5	202007231223
m4_5	16394.2	16283.4	73.63	202007231224
m5_1	17359.9	17279.8	394.6	202007231231
m5_2	16965.0	16940.4	145.59	202007231233
m5_3	17023.2	16940.6	161.42	202007231236
m5_4	17727.1	17649.9	165.6	202007231239
m5_5	16803.6	16685.4	232.5	202007231243
m6_1	17405.9	17293.5	322.79	202007231248
m6_2	17467.6	17455.3	291.14	202007231253
m6_3	16494.0	16456.4	282.71	202007231257
m6_4	16735.0	16716.9	210.4	202007231301
m6_5	16913.3	16869.7	316.99	202007231306
m7_1	29260.6	29203.1	251.61	202007231310
m7_2	29111.9	29025.7	202.12	202007231314
m7_3	28877.7	28839.1	133.44	202007231316
m7_4	28940.7	28932.9	137.02	202007231318
m7_5	29363.8	29344.2	222.35	202007231322
m8_1	28315.1	28230.6	397.17	202007231329
m8_2	29131.5	29053.5	291.69	202007231334
m8_3	28872.1	28835.3	302.53	202007231339
m8_4	28559.5	28533.7	267.98	202007231343
m8_5	28462.4	28409.5	527.38	202007231352
l1_1	25455.8	25410.1	898.92	202007231407
l1_2	25061.9	24990.8	881.51	202007231421
l1_3	24613.8	24596.2	697.86	202007231433
l1_4	24112.1	24054.4	626.83	202007231444
l1_5	24719.4	24605.5	1104.01	202007231502
l2_1	23604.1	23563.4	1224.86	202007231522
l2_2	23841.4	23836.3	1041.1	202007231540
l2_3	24501.2	24449.3	1116.81	202007231558
l2_4	22883.2	22867.9	1316.83	202007231620
l2_5	25289.5	25247.8	1222.86	202007231641
l3_1	44579.9	44496.7	755.48	202007231653
l3_2	24501.2	24449.3	1187.88	202007231713
l3_3	24641.9	24588.6	1509.58	202007231738
l3_4	22883.2	22846.9	1460.38	202007231803
l3_5	24149.4	24141.3	981.16	202007231819
l4_1	44509.5	44405.9	1775.26	202007231849
l4_2	44327.2	44301.2	1206.74	202007231909
l4_3	43818.5	43748.3	1033.47	202007231926
l4_4	43250.6	43191.1	1693.31	202007231954
l4_5	44124.0	44028.1	1414.32	202007232018
week1	42977.2	42977.2	398.83	202007232024
week2	49353.2	49353.2	602.26	202007232034
week3	40959.5	40958.2	322.17	202007232040
week4	43906.9	43884.9	805.95	202007232053
week5	38345.8	38283.0	567.76	202007232103
week6	50719.0	50711.7	442.98	202007232110
week7	38130.2	38116.9	400.86	202007232117
week8	31046.6	30951.4	1181.7	202007232136
week9	32880.3	32879.0	280.79	202007232141
week10	36390.9	36390.9	941.85	202007232157
week11	31622.9	31571.9	600.67	202007232207
week12	52695.9	52612.0	742.34	202007232219
