ins	real	model	time	timestamp
s1_1	4265.0	4599.6	0.27	202007192330
s1_2	4357.9	4484.8	0.59	202007192331
s1_3	4340.1	4607.0	0.39	202007192331
s1_4	4467.0	4809.6	0.35	202007192331
s1_5	4321.6	4435.8	0.63	202007192331
s1_6	4429.4	4621.4	0.55	202007192331
s1_7	4490.6	4740.4	0.37	202007192331
s1_8	4593.5	4823.6	0.97	202007192331
s1_9	4583.3	5049.2	0.25	202007192331
s1_10	4591.7	4878.6	0.57	202007192331
s2_1	3772.4	3859.8	0.28	202007192331
s2_2	4210.3	4330.0	0.57	202007192331
s2_3	4779.0	5046.2	0.61	202007192331
s2_4	3967.0	4193.2	0.79	202007192331
s2_5	4238.8	4405.8	1.05	202007192331
s2_6	4019.4	4127.4	0.64	202007192331
s2_7	3967.9	4051.4	0.62	202007192331
s2_8	4241.1	4492.4	0.81	202007192331
s2_9	4543.8	4846.8	0.39	202007192331
s2_10	4333.1	4631.6	2.48	202007192331
s3_1	8608.4	8989.4	0.31	202007192331
s3_2	8189.5	8556.2	0.59	202007192331
s3_3	8652.9	9227.4	0.3	202007192331
s3_4	8369.3	8729.2	0.49	202007192331
s3_5	8102.4	8157.6	0.39	202007192331
s3_6	8067.7	8272.4	0.53	202007192331
s3_7	7992.3	8257.6	0.86	202007192331
s3_8	7960.8	8216.4	0.3	202007192331
s3_9	8162.2	8443.2	0.66	202007192331
s3_10	8948.2	9136.6	0.45	202007192331
s4_1	7359.7	7439.8	0.33	202007192331
s4_2	7817.9	7931.8	0.34	202007192331
s4_3	7781.6	7843.8	0.45	202007192331
s4_4	7623.7	7797.6	0.81	202007192331
s4_5	7470.1	7517.2	0.54	202007192331
s4_6	7668.9	7775.6	0.72	202007192331
s4_7	7400.0	7505.0	0.64	202007192331
s4_8	7711.0	7771.8	0.5	202007192331
s4_9	7861.8	7900.0	0.49	202007192331
s4_10	7768.1	7852.4	0.54	202007192331
m1_1	9471.5	10181.4	7.09	202007192332
m1_2	9258.3	10016.0	18.75	202007192332
m1_3	9034.0	9642.0	17.72	202007192333
m1_4	9259.0	9897.8	11.53	202007192333
m1_5	9286.9	9708.2	7.45	202007192333
m2_1	8019.5	8273.4	25.26	202007192334
m2_2	8251.9	8518.4	20.63	202007192334
m2_3	7693.3	7817.2	15.72	202007192335
m2_4	8520.7	8865.4	4.21	202007192335
m2_5	7867.6	8053.8	11.65	202007192335
m3_1	16738.9	17255.6	7.91	202007192336
m3_2	16888.6	17292.0	6.48	202007192336
m3_3	16831.0	17605.4	8.73	202007192336
m3_4	17009.4	17759.0	8.48	202007192336
m3_5	16894.8	17674.4	10.66	202007192337
m4_1	16465.4	16857.2	8.93	202007192337
m4_2	17064.8	17502.0	8.55	202007192337
m4_3	16549.2	17025.8	10.21	202007192338
m4_4	16404.0	16848.4	8.2	202007192338
m4_5	16394.2	16746.4	8.0	202007192338
m5_1	17359.9	18111.4	15.98	202007192339
m5_2	16965.0	17439.4	41.62	202007192340
m5_3	17023.2	17522.8	16.79	202007192340
m5_4	17727.1	18181.4	17.77	202007192341
m5_5	16803.6	17048.2	26.22	202007192341
m6_1	17405.9	17543.0	22.12	202007192342
m6_2	17467.6	17743.0	18.14	202007192343
m6_3	16494.0	16792.4	25.67	202007192343
m6_4	16735.0	17068.4	13.44	202007192344
m6_5	16913.3	17339.6	32.33	202007192344
m7_1	29260.6	29651.6	19.8	202007192345
m7_2	29111.9	29762.8	18.42	202007192345
m7_3	28877.7	29455.4	21.83	202007192346
m7_4	28940.7	29323.8	13.38	202007192347
m7_5	29363.8	29935.2	21.56	202007192347
m8_1	28315.1	28508.4	5.72	202007192347
m8_2	29131.5	29601.2	19.85	202007192348
m8_3	28872.1	29298.6	14.51	202007192348
m8_4	28559.5	28937.4	12.03	202007192349
m8_5	28462.4	28710.8	9.85	202007192349
l1_1	25455.8	26041.0	101.46	202007192352
l1_2	25061.9	26045.0	119.23	202007192355
l1_3	24613.8	25402.8	115.06	202007192358
l1_4	24112.1	24779.4	167.95	202007200002
l1_5	24719.4	25653.2	165.62	202007200006
l2_1	23604.1	23917.6	135.73	202007200009
l2_2	23841.4	24257.4	111.23	202007200012
l2_3	24501.2	24888.6	103.97	202007200015
l2_4	22883.2	23061.2	120.96	202007200018
l2_5	25289.5	25785.6	90.13	202007200020
l3_1	44579.9	45365.4	85.11	202007200023
l3_2	24501.2	24888.6	104.69	202007200025
l3_3	24641.9	25037.8	110.91	202007200028
l3_4	22883.2	23061.2	122.13	202007200031
l3_5	24149.4	24641.4	90.34	202007200034
l4_1	44509.5	44996.8	108.31	202007200037
l4_2	44327.2	45076.2	74.71	202007200039
l4_3	43818.5	44137.8	69.93	202007200041
l4_4	43250.6	43774.8	72.8	202007200043
l4_5	44124.0	44357.2	74.19	202007200046
week1	42977.2	43683.8	165.93	202007200049
week2	49353.2	49957.2	331.49	202007200054
week3	40959.5	41287.0	90.65	202007200056
week4	43906.9	44502.6	511.96	202007200105
week5	38345.8	38882.4	286.75	202007200109
week6	50719.0	51549.0	102.03	202007200111
week7	38130.2	38527.4	132.64	202007200114
week8	31046.6	31625.2	560.97	202007200123
week9	32880.3	33147.6	72.13	202007200124
week10	36390.9	37370.2	633.96	202007200135
week11	31622.9	31857.0	333.36	202007200141
week12	52695.9	53190.6	471.37	202007200149
